Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
21/04/2025 07:28 p. m.,Ordeño,10:50,30.19,1,,,,,0,,1.50,1.38,1.50,1.38,2862,688,775,795,3.68,4.03,4.07,3.80,VMS 3,,Divert 3,,2.40,2.04,2.22,2.28,8.57,7.34,7.26,7.02
22/04/2025 09:11 a. m.,Echada sin ordeñar,01:07,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
22/04/2025 03:23 p. m.,Ordeño,08:27,21.52,1,,,,,0,,1.20,1.14,1.14,1.26,468,390,378,582,5.21,5.30,5.06,5.21,VMS 3,,Divert 3,,1.62,1.62,1.56,1.92,6.32,5.11,5.50,4.59
23/04/2025 12:48 a. m.,Echada sin ordeñar,01:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
23/04/2025 01:09 p. m.,Ordeño,12:57,31.55,1,,TD,,,1,,1.14,1.14,1.08,1.26,761,0,0,0,5.28,5.23,4.99,5.87,VMS 3,,Divert 3,,1.56,1.62,1.62,1.86,9.46,8.40,8.65,5.04
23/04/2025 07:41 p. m.,Ordeño,07:07,12.88,2,,TD,,,0,,0.90,1.14,1.02,1.08,459,0,0,0,4.87,5.01,4.96,5.20,VMS 3,,Divert 3,,1.32,1.62,1.44,1.50,3.42,3.09,2.57,3.80
24/04/2025 07:22 a. m.,Ordeño,08:23,12.52,1,,"TI,TD",DI,DI,0,,0.00,1.26,1.14,1.08,0,0,0,0,0.00,5.00,4.95,4.95,VMS 3,,Divert 3,,0.00,1.80,1.74,1.92,0.00,5.00,4.74,2.78
24/04/2025 03:47 p. m.,Ordeño,11:04,21.72,2,,,,,0,,1.20,1.20,1.08,1.14,0,0,0,0,5.30,5.09,5.11,5.00,VMS 3,,Divert 3,,1.62,1.50,1.44,1.62,9.56,3.67,3.52,4.97
25/04/2025 12:36 a. m.,Ordeño,09:00,15.96,1,,,,,0,,0.90,0.90,0.96,1.02,0,0,0,0,4.77,4.93,4.91,4.95,VMS 3,,Divert 3,,1.38,1.44,1.44,1.44,4.31,4.16,3.91,3.58
25/04/2025 08:54 a. m.,Ordeño,08:05,12.12,2,,TD,TD,TD,0,,1.14,1.14,1.08,0.66,0,0,0,0,4.83,4.79,4.78,5.09,VMS 3,,Divert 3,,1.62,1.62,1.62,1.56,4.21,3.92,3.80,0.19
25/04/2025 05:23 p. m.,Ordeño,06:52,17.23,3,,TD,,,0,,1.08,1.26,1.14,1.14,0,0,0,0,5.07,4.95,4.97,5.25,VMS 3,,Tanque,,1.44,1.62,1.56,1.68,4.48,4.10,3.85,4.80
26/04/2025 01:00 a. m.,Ordeño,09:18,16.03,1,,,,,0,,1.08,1.08,1.08,0.96,0,0,0,0,4.88,4.79,4.63,4.66,VMS 3,,Tanque,,1.44,1.56,1.56,1.44,3.93,3.73,3.49,4.88
26/04/2025 08:03 a. m.,Ordeño,09:17,13.76,2,,TD,,,0,,0.96,1.14,0.96,0.90,0,0,0,0,4.58,4.75,4.63,4.67,VMS 3,,Tanque,,2.16,1.62,1.32,1.26,4.06,3.42,3.42,2.86
26/04/2025 05:30 p. m.,Ordeño,09:05,18.63,3,,,,,0,,1.02,0.96,1.14,1.02,0,0,0,0,4.90,5.03,4.97,5.13,VMS 3,,Tanque,,1.38,1.38,1.56,1.38,5.16,4.86,4.33,4.28
26/04/2025 11:49 p. m.,Ordeño,08:24,8.97,4,,TD,TI,TI,0,,1.02,1.02,0.00,0.96,0,0,0,0,4.77,4.82,0.00,4.63,VMS 3,,Tanque,,1.56,1.56,0.00,1.32,3.17,3.06,0.00,2.74
27/04/2025 08:30 a. m.,Ordeño,08:49,18.95,1,,TI,,,0,,1.08,1.02,1.14,0.96,0,0,0,0,4.58,4.79,4.98,4.68,VMS 3,,Tanque,,1.50,1.56,1.74,1.38,4.68,3.84,6.84,3.59
27/04/2025 04:03 p. m.,Ordeño,08:07,13.93,2,,,,,0,,1.02,1.08,1.08,0.96,0,0,0,0,4.72,4.99,4.90,4.82,VMS 3,,Tanque,,1.44,1.50,1.56,1.44,4.17,3.40,3.25,3.11
27/04/2025 11:32 p. m.,Ordeño,08:09,13.57,3,,,,,0,,0.90,1.08,0.90,0.96,0,0,0,0,4.54,4.78,4.82,4.62,VMS 3,,Tanque,,1.32,1.50,1.32,1.44,3.80,3.46,3.17,3.14
