Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 08:16 a. m.,Ordeño,08:26,21.91,1,,,,,1,,1.02,1.38,1.20,1.08,0,0,0,0,5.13,4.88,4.76,4.66,VMS 3,,Tanque,,1.50,1.80,1.74,1.44,5.67,6.55,4.78,4.91
01/03/2025 11:39 p. m.,Ordeño,06:54,18.90,2,,DI,,,1,,0.96,1.38,1.08,0.96,0,0,0,0,4.80,4.65,4.59,4.52,VMS 3,,Tanque,,1.38,1.86,1.56,1.32,3.96,5.94,4.45,4.55
02/03/2025 03:25 p. m.,Ordeño,08:40,20.08,1,,,,,1,,1.02,1.44,1.02,0.96,0,0,0,0,5.10,4.69,4.57,4.40,VMS 3,,Tanque,,1.50,1.80,1.44,1.26,5.95,5.70,4.03,4.40
02/03/2025 07:16 p. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
03/03/2025 02:23 a. m.,Ordeño,07:01,12.33,1,,,,,0,,0.84,1.26,1.02,0.90,0,0,373,0,4.51,4.56,4.36,4.39,VMS 3,,Tanque,,1.26,1.68,1.44,1.32,3.22,3.79,2.62,2.70
03/03/2025 06:20 p. m.,Ordeño,08:01,19.77,2,,TD,,,0,,1.02,1.38,1.20,0.96,0,0,0,0,5.31,5.01,4.92,4.85,VMS 3,,Tanque,,1.50,1.86,1.62,1.56,4.99,6.08,4.76,3.94
04/03/2025 10:32 a. m.,Ordeño,08:35,22.27,1,,,,,1,,1.14,1.32,1.08,1.02,0,0,0,0,5.02,4.82,4.66,4.73,VMS 3,,Tanque,,1.56,1.74,1.50,1.44,5.27,6.57,4.53,5.90
04/03/2025 11:47 p. m.,Ordeño,07:21,15.72,2,,,,,0,,0.96,1.32,0.96,0.84,0,0,0,0,4.68,4.52,4.47,4.21,VMS 3,,Tanque,,1.62,1.74,1.38,1.32,3.98,4.83,3.55,3.36
05/03/2025 05:20 p. m.,Ordeño,08:22,21.69,1,,,,,0,,1.08,1.32,0.96,1.02,0,0,0,0,5.25,4.91,4.78,4.82,VMS 3,,Tanque,,1.50,1.74,1.38,1.44,5.48,6.85,4.63,4.73
06/03/2025 08:56 a. m.,Ordeño,06:59,18.65,1,,,,,1,,1.08,1.32,1.20,1.02,0,0,0,0,4.90,4.71,4.61,4.54,VMS 3,,Tanque,,1.56,1.80,1.62,1.38,4.43,5.82,4.04,4.36
06/03/2025 07:14 p. m.,Ordeño,06:56,12.62,2,,,,,0,,0.90,1.20,0.96,0.90,0,0,490,0,4.77,4.51,4.56,4.38,VMS 3,,Tanque,,1.44,1.50,1.50,1.26,3.22,3.72,2.71,2.97
07/03/2025 04:59 a. m.,Ordeño,06:58,13.06,1,,,,,0,,0.90,1.26,1.20,0.96,0,0,389,0,4.89,4.58,4.68,4.54,VMS 3,,Tanque,,1.32,1.68,1.62,1.32,3.11,3.98,2.91,3.06
07/03/2025 12:07 p. m.,Ordeño,05:23,8.62,2,,,,,0,,1.02,1.26,1.02,0.84,0,0,484,0,4.83,4.53,4.54,4.39,VMS 3,,Tanque,,1.38,1.56,1.50,1.26,2.26,2.60,1.84,1.92
07/03/2025 06:25 p. m.,Ordeño,05:01,7.11,3,,,,,0,,0.84,1.20,0.96,0.72,0,0,576,0,4.70,4.59,4.47,4.27,VMS 3,,Tanque,,1.26,1.62,1.38,1.08,1.63,2.22,1.59,1.67
08/03/2025 08:05 a. m.,Ordeño,08:18,18.73,1,,,,,0,,0.90,1.50,1.14,1.02,0,0,0,0,5.01,4.94,4.90,4.91,VMS 3,,Tanque,,1.32,1.92,1.68,1.38,4.58,5.55,4.17,4.43
08/03/2025 06:34 p. m.,Ordeño,06:36,14.08,2,,,,,0,,0.96,1.38,1.14,1.02,0,0,389,0,4.93,4.79,4.66,4.71,VMS 3,,Tanque,,1.38,1.86,1.50,1.38,3.41,4.22,3.14,3.31
08/03/2025 10:54 p. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
09/03/2025 12:09 p. m.,Ordeño,08:04,21.37,1,,,,,0,,1.02,1.44,1.20,1.14,0,0,0,0,5.01,4.69,4.65,4.74,VMS 3,,Tanque,,1.44,1.86,1.62,1.44,5.51,5.69,4.91,5.26
09/03/2025 03:06 p. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
09/03/2025 08:55 p. m.,Ordeño,06:32,8.99,2,,,,,0,,0.84,1.20,0.96,0.90,0,0,790,462,4.40,4.37,4.12,3.93,VMS 3,,Tanque,,1.26,1.56,1.38,1.32,2.11,2.81,1.95,2.12
10/03/2025 10:49 a. m.,Ordeño,07:53,17.42,1,,,,,0,,1.08,1.14,1.14,0.96,0,0,388,0,4.93,4.81,4.57,4.58,VMS 3,,Tanque,,1.56,1.62,1.50,1.44,4.11,5.39,3.87,4.05
10/03/2025 07:48 p. m.,Ordeño,05:24,10.79,2,,,,,0,,1.02,1.26,1.08,0.96,0,0,0,0,4.92,4.55,4.47,4.28,VMS 3,,Tanque,,1.50,1.62,1.56,1.32,2.68,3.25,2.33,2.53
11/03/2025 12:56 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
11/03/2025 09:47 a. m.,Ordeño,07:59,17.38,1,,,,,0,,1.02,1.38,1.20,1.14,0,0,0,0,5.18,4.99,4.81,4.84,VMS 3,,Tanque,,1.44,1.80,1.68,1.50,4.18,4.67,4.19,4.34
12/03/2025 01:35 a. m.,Ordeño,07:44,16.83,1,,DI,,,1,,1.02,1.32,1.20,0.96,0,0,0,0,4.91,4.66,4.56,4.36,VMS 3,,Tanque,,1.62,1.80,1.56,1.38,3.90,4.96,3.90,4.07
12/03/2025 01:29 p. m.,Ordeño,06:48,12.15,2,,,,,0,,0.90,1.38,1.02,0.96,0,0,486,0,4.71,4.51,4.29,4.11,VMS 3,,Tanque,,1.38,1.80,1.50,1.32,3.03,3.77,2.62,2.73
