Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
16/04/2025 09:53 p. m.,Echada sin ordeñar,00:07,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
16/04/2025 10:02 p. m.,Echada sin ordeñar,00:10,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
16/04/2025 10:04 p. m.,Echada sin ordeñar,00:24,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
16/04/2025 10:04 p. m.,Echada sin ordeñar,00:32,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
16/04/2025 10:05 p. m.,Ordeño,07:02,5.45,1,,,,,0,,0.48,0.54,0.42,0.48,564,0,574,786,5.29,5.40,4.70,5.24,VMS 3,,Divert 3,,0.72,0.90,0.66,0.84,1.11,0.98,1.78,1.58
17/04/2025 11:47 a. m.,Ordeño,10:42,6.51,1,,,,,0,,0.48,0.60,0.48,0.78,0,0,0,0,4.83,4.92,4.52,4.29,VMS 3,,Divert 3,,0.90,1.32,0.90,1.62,1.41,1.49,1.67,1.94
19/04/2025 07:37 p. m.,Ordeño,11:13,5.64,1,,DD,,"TI,TD",0,,0.60,0.72,0.00,0.00,2057,0,0,0,4.92,5.22,0.00,0.00,VMS 3,,Divert 3,,1.02,1.02,0.00,0.00,2.75,2.89,0.00,0.00
20/04/2025 10:24 p. m.,Ordeño,12:59,11.57,1,,,,,0,"DI,DD",0.60,0.48,0.66,0.54,439,0,572,0,4.54,4.90,4.07,3.37,VMS 3,,Tanque,,0.96,0.90,1.08,1.14,1.76,1.77,3.69,4.35
22/04/2025 06:27 a. m.,Ordeño,10:14,4.82,1,,"DD,TI",,"TI,TD",0,DI,0.66,0.60,0.48,0.00,0,0,0,0,5.18,4.79,3.75,0.00,VMS 2,,Tanque,,1.08,0.96,0.96,0.00,1.54,3.20,0.08,0.00
22/04/2025 10:18 p. m.,Ordeño,12:10,1.74,2,,"TI,TD",,"DI,TI",0,,0.00,0.54,0.30,0.42,0,332,0,0,0.00,4.45,2.95,4.22,VMS 2,,Tanque,,0.00,0.90,0.66,1.08,0.00,1.33,0.05,0.36
24/04/2025 03:00 a. m.,Ordeño,15:22,13.90,1,,,,,0,,0.60,0.60,0.54,0.54,0,0,863,0,4.89,4.43,4.57,3.26,VMS 2,,Tanque,,0.96,1.02,0.96,1.14,2.68,3.07,3.47,4.68
24/04/2025 08:04 p. m.,Ordeño,09:11,4.98,2,,,,,1,,0.36,0.48,0.42,0.42,0,0,563,0,4.22,4.53,4.95,4.46,VMS 2,,Tanque,,0.84,0.78,0.78,0.66,1.15,1.82,1.13,0.88
25/04/2025 05:42 a. m.,Ordeño,09:34,3.07,1,,"TI,TD",,,0,,0.30,0.48,0.42,0.36,0,0,0,0,3.87,3.91,4.24,3.86,VMS 2,,Tanque,,0.66,0.90,1.08,1.20,0.72,1.09,0.71,0.55
25/04/2025 07:00 p. m.,Ordeño,07:13,5.28,2,,,,,0,,0.30,0.48,0.42,0.42,0,410,548,0,4.36,4.48,4.91,4.87,VMS 2,,Tanque,,0.66,0.72,0.66,0.84,0.72,1.50,1.22,1.84
26/04/2025 01:01 a. m.,Ordeño,05:39,2.24,1,,,,,0,,0.30,0.42,0.30,0.36,0,308,439,0,4.19,3.75,4.01,3.99,VMS 2,,Tanque,,0.54,0.90,0.72,0.66,0.59,0.59,0.42,0.64
