Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 06:36 a. m.,Ordeño,15:45,8.63,1,,,,TD,0,,0.60,0.60,0.78,0.00,0,0,0,0,3.91,0.00,4.18,0.00,VMS 1,,Tanque,,1.08,0.96,1.32,0.00,2.14,2.84,3.65,0.00
01/03/2025 10:01 p. m.,Ordeño,12:06,11.50,2,,DD,DD,,1,DD,0.72,0.48,0.84,0.60,0,0,0,0,4.14,7.57,4.05,0.00,VMS 1,,Tanque,,1.02,1.32,1.26,1.08,3.11,0.55,4.15,3.69
02/03/2025 05:51 a. m.,Ordeño,09:17,7.16,1,,TD,,,0,,0.66,0.72,0.78,0.54,0,0,0,0,3.72,3.69,3.85,0.00,VMS 1,,Tanque,,1.02,1.20,1.20,1.14,1.96,1.49,2.73,0.98
03/03/2025 01:35 a. m.,Ordeño,10:52,14.62,1,,,TD,TD,0,,0.78,0.78,0.84,0.00,0,0,0,0,4.81,4.70,4.56,0.00,VMS 1,,Tanque,,1.20,1.26,1.26,0.00,4.43,4.67,5.52,0.00
03/03/2025 07:29 a. m.,Ordeño,10:57,4.62,2,,,DI,DI,0,,0.00,0.54,0.48,0.66,0,0,0,0,0.00,0.00,3.52,3.48,VMS 1,,Tanque,,0.00,0.84,0.72,1.20,0.00,1.52,1.35,1.75
03/03/2025 04:14 p. m.,Ordeño,08:24,7.29,3,,,TD,TD,0,,0.54,0.66,0.78,0.00,0,0,0,0,3.91,3.93,3.88,0.00,VMS 1,,Tanque,,1.20,0.96,1.14,0.00,1.97,2.45,2.87,0.00
04/03/2025 12:02 a. m.,Ordeño,08:49,6.29,1,,DI,TD,TD,0,,0.66,0.54,0.72,0.00,0,0,0,0,4.05,3.99,4.09,0.00,VMS 1,,Tanque,,1.02,0.78,1.20,0.00,1.81,2.09,2.39,0.00
04/03/2025 10:17 a. m.,Ordeño,11:26,9.78,2,,,,TD,0,,0.78,0.72,0.96,0.00,0,0,0,0,4.57,0.00,4.48,0.00,VMS 1,,Tanque,,1.14,1.08,1.32,0.00,2.63,3.28,3.87,0.00
04/03/2025 04:51 p. m.,Ordeño,11:00,7.75,3,,,,,1,DD,0.66,0.66,0.78,0.48,0,0,0,0,4.43,8.64,4.30,0.00,VMS 1,,Tanque,,1.14,1.56,1.20,0.72,1.71,1.54,2.51,1.99
05/03/2025 12:02 a. m.,Ordeño,08:42,7.42,1,,,,DD,0,,0.66,0.00,0.72,0.60,0,0,0,0,4.43,0.00,4.49,0.00,VMS 1,,Tanque,,1.08,0.00,1.08,0.90,2.06,0.00,2.88,2.48
05/03/2025 02:03 p. m.,Ordeño,09:59,13.87,2,,,,TD,0,,0.78,0.84,0.96,0.00,0,0,0,0,4.68,4.69,4.37,0.00,VMS 1,,Tanque,,1.08,1.20,1.38,0.00,3.89,4.58,5.40,0.00
06/03/2025 02:49 a. m.,Ordeño,13:30,11.97,1,,,,DD,0,,0.72,0.00,0.96,0.72,0,0,0,0,3.93,0.00,4.02,0.00,VMS 1,,Tanque,,1.08,0.00,1.56,1.38,3.10,0.00,4.85,4.02
06/03/2025 03:15 p. m.,Ordeño,10:37,12.70,2,,,,TD,0,,0.72,0.72,0.96,0.00,0,0,0,0,3.86,3.99,3.87,0.00,VMS 1,,Tanque,,1.08,1.14,1.32,0.00,3.72,4.11,4.87,0.00
07/03/2025 03:21 a. m.,Ordeño,13:17,10.96,1,,TD,TD,,0,,0.66,0.78,1.02,0.60,0,0,0,0,3.86,3.92,3.87,0.00,VMS 1,,Tanque,,1.44,1.14,1.38,1.62,2.62,3.04,4.64,0.66
