Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
14/07/2025 07:11 p. m.,Echada sin ordeñar,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
14/07/2025 07:12 p. m.,Ordeño,09:12,10.71,1,,,,,0,,1.32,1.02,1.32,1.02,7188,1489,5693,676,4.73,4.88,4.39,4.43,VMS 3,,Divert 3,,1.74,1.32,1.80,1.68,3.77,2.35,2.85,1.74
15/07/2025 09:19 a. m.,Ordeño,06:03,10.53,1,,,,,1,DI,1.38,1.02,1.44,1.08,7496,1993,6098,386,5.97,5.51,5.20,5.03,VMS 3,,Divert 3,,1.92,1.50,1.98,1.50,2.49,3.05,3.20,1.79
15/07/2025 08:19 p. m.,Ordeño,05:32,7.99,2,,TD,,,1,,1.32,0.96,1.44,1.08,7398,2786,4099,0,5.30,4.93,5.01,5.49,VMS 3,,Divert 3,,1.68,1.32,2.10,1.80,2.17,2.67,2.69,0.46
16/07/2025 11:23 a. m.,Ordeño,07:40,14.16,1,,,,,1,DI,1.26,1.02,1.38,1.38,4293,2192,2299,0,5.70,5.27,5.07,4.80,VMS 3,,Divert 3,,1.74,1.62,1.74,1.86,3.11,3.53,3.73,3.79
16/07/2025 11:02 p. m.,Ordeño,06:58,11.36,2,,,,,1,,1.08,1.08,1.32,1.44,5597,1794,1596,0,5.56,5.03,4.90,4.87,VMS 3,,Divert 3,,1.50,1.80,1.74,1.86,2.45,2.93,3.17,2.81
17/07/2025 11:58 a. m.,Ordeño,07:00,10.64,1,,DI,,,1,DI,1.20,0.90,1.38,1.08,1097,798,1898,386,6.77,5.40,5.19,4.55,VMS 3,,Divert 3,,1.92,1.38,1.80,1.38,1.91,3.26,3.60,1.87
18/07/2025 04:17 a. m.,Ordeño,07:07,16.10,1,,,,,1,DI,1.26,1.02,1.38,1.32,1296,786,588,0,5.13,4.98,4.74,4.11,VMS 3,,Tanque,,1.68,1.44,1.92,1.80,3.62,3.89,4.47,4.12
