Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 07:50 a. m.,Ordeño,08:22,19.27,1,,TD,,,0,,0.84,1.56,1.20,1.26,0,0,0,0,4.40,4.55,4.55,4.53,VMS 3,,Tanque,,1.32,2.04,1.62,2.16,4.78,4.24,4.95,5.30
01/03/2025 11:21 p. m.,Ordeño,07:49,21.67,2,,,,,0,,0.96,1.56,1.26,1.38,0,0,0,0,4.53,4.45,4.59,4.52,VMS 3,,Tanque,,1.38,1.98,1.56,1.74,5.02,4.43,5.35,6.87
02/03/2025 03:34 p. m.,Ordeño,07:53,18.66,1,,,,,0,,0.90,1.44,1.14,1.26,0,0,0,0,4.29,4.36,4.43,4.20,VMS 3,,Tanque,,1.56,1.92,1.50,1.62,4.53,4.21,4.55,5.37
03/03/2025 12:35 a. m.,Ordeño,05:17,8.82,1,,,,,0,,0.78,1.38,1.02,1.14,0,0,0,0,3.72,4.03,4.04,3.95,VMS 3,,Tanque,,1.20,2.04,1.50,1.68,2.10,2.06,2.03,2.63
03/03/2025 02:27 p. m.,Ordeño,07:35,16.81,2,,,,,0,,0.84,1.44,1.14,1.20,0,0,0,0,4.51,4.43,4.50,4.38,VMS 3,,Tanque,,1.32,1.92,1.50,1.62,3.96,3.55,4.37,4.93
03/03/2025 11:24 p. m.,Ordeño,05:45,10.50,3,,,,,0,,0.78,1.32,1.02,1.08,0,0,0,0,4.08,4.29,4.29,4.10,VMS 3,,Tanque,,1.14,1.74,1.38,1.50,2.49,2.43,2.52,3.06
04/03/2025 11:11 a. m.,Ordeño,07:42,15.55,1,,DD,,,0,,0.78,1.50,1.02,1.26,0,0,0,0,4.34,4.49,4.46,4.40,VMS 3,,Tanque,,1.08,1.98,1.50,1.68,3.77,3.22,3.95,4.61
05/03/2025 01:31 a. m.,Ordeño,08:32,18.98,1,,,,,0,,0.78,1.50,1.08,1.20,0,0,0,0,4.35,4.46,4.47,4.35,VMS 3,,Tanque,,1.20,1.98,1.86,1.98,4.48,4.23,4.60,5.67
05/03/2025 04:08 p. m.,Ordeño,07:34,16.86,2,,,,,0,,0.90,1.56,1.14,1.32,0,0,0,0,4.58,4.52,4.57,4.56,VMS 3,,Tanque,,1.26,1.98,1.62,1.68,3.96,3.84,4.11,4.95
06/03/2025 08:24 a. m.,Ordeño,08:01,20.49,1,,,,,0,,0.96,1.44,1.26,1.32,0,0,0,0,4.36,4.37,4.55,4.33,VMS 3,,Tanque,,1.32,2.04,1.68,1.86,4.79,4.48,5.01,6.21
06/03/2025 04:29 p. m.,Ordeño,05:32,10.38,2,,,,,0,,0.90,1.38,1.26,1.14,0,0,0,0,4.30,4.30,4.49,4.27,VMS 3,,Tanque,,1.32,1.92,1.74,1.50,2.44,2.44,2.46,3.04
07/03/2025 05:59 a. m.,Ordeño,07:55,17.35,1,,,,,0,,0.78,1.68,1.20,1.20,0,0,0,0,4.42,4.38,4.54,4.48,VMS 3,,Tanque,,1.26,2.16,1.62,1.68,4.17,3.53,4.35,5.30
07/03/2025 02:55 p. m.,Ordeño,05:30,12.47,2,,,,,0,,1.02,1.50,1.20,1.14,0,0,0,0,4.35,4.39,4.49,4.18,VMS 3,,Tanque,,1.50,1.98,1.74,1.68,2.79,2.83,3.04,3.81
08/03/2025 01:54 a. m.,Ordeño,06:21,14.87,1,,,,,0,,0.96,1.44,1.20,1.14,0,0,0,0,4.49,4.47,4.56,4.38,VMS 3,,Tanque,,1.38,1.92,1.74,1.56,3.44,3.44,3.64,4.35
08/03/2025 10:31 a. m.,Ordeño,05:39,11.80,2,,TD,,,0,,0.96,1.44,1.14,1.08,0,0,0,0,4.34,4.32,4.44,4.26,VMS 3,,Tanque,,1.38,1.80,1.62,1.38,2.84,2.57,2.84,3.55
08/03/2025 10:33 p. m.,Ordeño,10:41,15.66,3,,TD,,,0,,0.90,1.50,1.14,1.02,399,0,0,0,4.36,4.40,4.21,4.32,VMS 3,,Tanque,,1.74,1.98,1.74,1.50,3.78,3.37,4.19,4.32
09/03/2025 02:22 p. m.,Ordeño,08:27,20.92,1,,DD,,,0,,0.90,1.80,1.20,1.38,0,0,0,0,4.28,4.35,4.52,4.34,VMS 3,,Tanque,,1.26,2.22,1.68,1.74,4.99,4.23,5.41,6.29
10/03/2025 12:03 a. m.,Ordeño,05:49,10.69,1,,,,,0,,0.78,1.50,1.08,1.26,0,0,0,0,4.05,4.24,4.16,3.97,VMS 3,,Tanque,,1.20,1.92,1.56,1.62,2.53,2.36,2.64,3.16
10/03/2025 03:43 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
10/03/2025 08:50 a. m.,Ordeño,06:22,11.27,2,,TD,,,0,,0.84,1.44,0.96,1.32,0,0,0,0,3.98,4.34,4.27,4.23,VMS 3,,Tanque,,1.38,1.92,1.38,2.10,2.85,2.64,2.85,2.93
10/03/2025 11:53 p. m.,Ordeño,09:16,21.08,1,,DD,,,0,,0.90,1.56,1.20,1.32,0,0,0,0,4.70,4.62,4.74,4.63,VMS 3,,Tanque,,1.32,2.04,1.62,1.74,5.23,3.87,5.70,6.28
11/03/2025 10:21 a. m.,Ordeño,07:08,13.75,2,,,,,0,,0.72,1.62,1.20,1.26,0,0,0,0,4.11,4.25,4.28,4.18,VMS 3,,Tanque,,1.14,2.28,1.62,1.62,3.28,3.07,3.36,4.04
11/03/2025 05:13 p. m.,Ordeño,06:24,7.15,3,,,,,0,,0.78,1.32,1.08,1.02,0,0,0,0,4.19,4.33,4.29,4.09,VMS 3,,Tanque,,1.26,1.68,1.50,1.50,1.64,1.57,1.79,2.15
12/03/2025 03:17 a. m.,Ordeño,07:14,14.40,1,,,,,0,,0.78,1.62,1.08,1.26,0,0,0,0,4.32,4.47,4.42,4.35,VMS 3,,Tanque,,1.20,2.46,1.56,1.68,3.51,3.28,3.60,4.01
12/03/2025 05:03 p. m.,Ordeño,08:27,19.83,2,,,,,0,,0.90,1.62,1.26,1.26,0,0,0,0,4.50,4.51,4.52,4.50,VMS 3,,Tanque,,1.44,2.04,1.62,1.68,4.95,3.90,5.13,5.85
13/03/2025 05:25 a. m.,Ordeño,08:29,16.68,1,,,,,0,TD,0.78,1.74,1.26,1.32,0,0,0,0,4.42,3.89,3.89,4.76,VMS 3,,Tanque,,1.08,2.16,1.68,1.68,3.99,3.61,4.28,4.80
13/03/2025 04:09 p. m.,Ordeño,07:50,14.66,2,,TI,,,1,TD,0.84,1.68,1.26,1.32,0,0,0,0,4.49,3.95,4.02,4.96,VMS 3,,Tanque,,1.44,2.16,2.10,1.92,3.59,3.56,2.83,4.68
14/03/2025 01:32 a. m.,Ordeño,05:49,12.88,1,,,,,0,,0.90,1.50,1.26,1.20,0,0,0,0,4.23,4.19,4.48,4.11,VMS 3,,Tanque,,1.32,1.98,1.68,1.56,2.85,2.43,3.95,3.65
14/03/2025 03:09 p. m.,Ordeño,08:00,19.65,2,,,,,0,,0.90,1.62,1.26,1.20,0,0,0,0,4.40,4.41,4.50,4.25,VMS 3,,Tanque,,1.32,2.10,1.68,1.56,4.77,4.34,4.67,5.87
15/03/2025 02:36 a. m.,Ordeño,07:13,13.83,1,,,,,0,,0.78,1.74,1.14,1.20,0,0,0,0,4.07,4.27,4.22,3.98,VMS 3,,Tanque,,1.32,2.28,1.56,1.62,3.44,3.04,3.14,4.21
15/03/2025 03:47 p. m.,Ordeño,07:18,17.35,2,,,,,0,,0.90,1.92,1.26,1.38,0,0,0,0,4.13,4.28,4.31,4.10,VMS 3,,Tanque,,1.38,2.46,1.86,1.92,4.22,3.87,4.23,5.03
16/03/2025 06:31 a. m.,Ordeño,08:06,16.57,1,,,,,0,,0.78,1.74,1.20,1.38,0,0,0,0,4.06,4.27,4.30,4.05,VMS 3,,Tanque,,1.32,2.34,1.74,1.74,4.04,3.76,3.84,4.93
16/03/2025 06:31 a. m.,Echada sin ordeñar,08:05,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
16/03/2025 03:39 p. m.,Ordeño,05:45,11.63,2,,,,,0,,0.90,1.62,1.26,1.32,0,0,0,0,3.97,4.14,4.23,3.87,VMS 3,,Tanque,,1.26,2.16,1.80,2.22,2.75,2.66,2.75,3.47
17/03/2025 12:49 a. m.,Ordeño,05:40,10.30,1,,,,,0,,0.84,1.44,1.02,1.14,0,0,0,0,4.04,4.14,4.24,3.86,VMS 3,,Tanque,,1.26,1.86,1.56,1.50,2.51,2.15,2.50,3.14
17/03/2025 10:28 a. m.,Ordeño,06:56,13.61,2,,,,,0,,0.84,1.62,1.32,1.26,0,0,0,0,4.33,4.35,4.43,4.12,VMS 3,,Tanque,,1.26,2.10,1.80,1.62,3.36,3.01,3.09,4.15
17/03/2025 11:21 p. m.,Ordeño,07:31,17.33,3,,,,,0,,0.84,1.68,1.20,1.20,0,0,0,0,4.26,4.19,4.44,4.14,VMS 3,,Tanque,,1.26,2.16,1.62,1.50,4.19,3.77,4.33,5.04
