Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
06/07/2025 04:08 a. m.,Ordeño,10:31,6.16,1,,,DD,DD,0,,1.38,0.18,1.62,1.20,0,0,0,0,4.48,0.00,4.33,3.73,VMS 3,,Tanque,,1.86,0.48,2.34,2.16,1.75,0.08,1.76,2.57
06/07/2025 04:19 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
07/07/2025 04:01 a. m.,Ordeño,07:47,10.83,1,,,TD,,1,,1.62,1.56,1.62,1.02,0,0,0,0,4.75,4.78,4.88,2.48,VMS 3,,Tanque,,2.22,2.10,2.16,1.50,3.46,3.17,2.94,1.26
07/07/2025 05:04 p. m.,Ordeño,06:29,7.56,2,,TD,,,0,,1.44,1.26,1.50,1.26,0,0,0,0,4.41,4.43,4.53,1.27,VMS 3,,Tanque,,2.04,1.68,1.98,2.04,1.85,1.77,1.87,2.07
08/07/2025 02:58 a. m.,Ordeño,07:48,5.20,1,,,TD,TD,0,,1.56,1.32,1.44,0.00,0,0,0,0,4.42,4.33,4.73,0.00,VMS 3,,Tanque,,2.10,1.86,1.86,0.00,1.74,1.66,1.80,0.00
08/07/2025 09:26 p. m.,Ordeño,11:48,9.56,2,,"TI,TD",,DI,0,,0.30,1.56,0.66,1.50,0,0,0,0,2.41,4.85,1.94,5.01,VMS 3,,Tanque,,0.78,2.10,1.62,1.98,0.17,2.88,3.36,3.15
09/07/2025 11:48 a. m.,Ordeño,09:56,5.50,1,,"TI,TD","TI,TD",,0,,1.50,1.38,1.02,1.38,0,0,0,0,4.49,4.53,2.35,2.68,VMS 3,,Tanque,,1.98,1.98,1.80,2.16,2.36,2.49,0.25,0.40
09/07/2025 11:09 p. m.,Ordeño,07:44,5.03,2,,TI,"TI,TD",TD,0,,1.56,1.38,0.66,0.00,0,0,0,0,4.77,4.52,2.41,0.00,VMS 3,,Tanque,,2.04,1.86,1.20,0.00,2.25,2.05,0.73,0.00
10/07/2025 11:51 a. m.,Ordeño,08:37,5.72,1,,TD,TD,TD,0,,1.68,1.50,1.56,0.36,0,0,0,0,4.97,4.92,4.45,2.81,VMS 3,,Tanque,,2.10,2.16,2.10,0.60,2.23,1.72,1.72,0.05
11/07/2025 02:40 a. m.,Ordeño,07:33,5.79,1,,TI,"TI,TD",TD,0,,1.62,1.62,1.02,0.84,0,0,0,0,4.66,4.77,2.95,2.14,VMS 3,,Tanque,,2.16,2.10,1.80,1.20,2.67,2.46,0.53,0.13
11/07/2025 09:32 p. m.,Ordeño,07:13,12.00,2,,,,,0,,1.62,1.50,1.80,0.96,0,0,0,0,4.92,5.03,4.85,5.15,VMS 3,,Tanque,,2.34,2.10,3.00,1.38,3.66,3.04,3.12,2.18
12/07/2025 10:00 p. m.,Ordeño,05:31,10.25,1,,,TI,,0,,1.68,1.38,1.38,0.90,0,0,0,0,4.76,4.89,2.48,2.76,VMS 3,,Tanque,,2.34,1.80,1.98,1.68,4.10,3.32,0.61,2.22
13/07/2025 11:46 a. m.,Ordeño,10:58,4.43,1,,,"DI,TD","DI,TD",0,,0.18,1.38,1.44,0.00,0,0,0,0,1.94,4.52,4.43,0.00,VMS 3,,Tanque,,0.54,1.86,1.92,0.00,0.11,2.46,1.86,0.00
14/07/2025 05:22 a. m.,Ordeño,11:52,9.03,1,,,,TD,0,,1.68,1.44,1.50,0.18,0,0,0,0,4.41,4.51,3.94,0.00,VMS 3,,Tanque,,2.34,1.86,1.86,0.48,3.07,3.17,2.65,0.14
15/07/2025 12:56 a. m.,Ordeño,07:44,9.18,1,,TD,,,1,,1.56,1.56,0.96,1.38,0,0,0,0,4.90,4.46,2.55,2.68,VMS 3,,Tanque,,1.98,2.04,1.98,2.04,2.23,3.01,1.52,2.42
15/07/2025 05:14 p. m.,Ordeño,06:25,6.19,2,,,"TI,TD","TI,TD",0,,1.44,1.56,0.00,0.00,0,0,0,0,5.16,4.92,0.00,0.00,VMS 3,,Tanque,,1.92,1.98,0.00,0.00,2.99,3.20,0.00,0.00
16/07/2025 04:05 a. m.,Ordeño,07:02,7.48,1,,,,TD,0,,1.26,1.62,1.50,0.30,0,0,0,0,4.98,4.80,4.44,2.55,VMS 3,,Tanque,,1.74,2.28,1.86,0.66,2.07,2.37,2.98,0.06
16/07/2025 02:38 p. m.,Ordeño,06:38,4.76,2,,,"TI,TD","TI,TD",0,,1.32,1.44,0.00,0.00,0,0,0,0,4.96,4.79,0.00,0.00,VMS 3,,Tanque,,1.98,1.98,0.00,0.00,2.25,2.51,0.00,0.00
16/07/2025 11:24 p. m.,Ordeño,10:15,6.52,3,,,,DD,0,,1.20,0.18,1.50,1.32,0,0,0,0,5.09,0.00,4.98,5.08,VMS 3,,Tanque,,1.56,0.42,1.92,1.74,1.93,0.07,2.38,2.14
17/07/2025 02:11 p. m.,Ordeño,06:11,8.89,1,,TD,,,0,"DI,DD",1.38,1.56,1.20,1.32,0,0,0,0,5.28,5.14,2.49,3.78,VMS 3,,Tanque,,1.92,2.04,2.10,1.98,2.78,3.25,1.07,1.79
17/07/2025 11:32 p. m.,Ordeño,04:28,9.09,2,,,,,0,DI,1.44,1.32,1.56,1.20,0,0,0,0,5.13,4.93,4.79,3.83,VMS 3,,Tanque,,1.86,1.74,2.10,1.68,1.94,2.52,2.86,1.77
18/07/2025 07:46 a. m.,Ordeño,06:45,5.83,1,,TD,,,0,,1.20,1.38,1.50,1.20,0,0,0,0,4.82,5.00,5.23,2.42,VMS 3,,Tanque,,2.64,1.92,1.92,2.34,0.35,2.24,1.71,1.53
