Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
19/04/2025 10:00 a. m.,Ordeño,08:25,0.33,1,,TI,,Todos,0,,0.18,0.00,0.42,0.00,0,0,0,0,2.55,0.00,2.01,0.00,VMS 3,,Drenaje,,0.54,0.00,0.90,0.00,0.19,0.00,0.14,0.00
20/04/2025 05:15 p. m.,Echada sin ordeñar,00:09,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
21/04/2025 10:05 p. m.,Echada sin ordeñar,00:07,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
22/04/2025 05:16 a. m.,Ordeño,08:36,9.21,1,,,,,0,,0.90,1.02,0.96,0.90,3172,0,0,0,4.56,4.79,4.72,4.49,VMS 3,,Drenaje,,1.50,1.56,1.44,1.68,2.02,2.02,2.41,2.76
24/04/2025 07:07 a. m.,Ordeño,07:54,12.15,1,,,,,1,DI,1.02,1.14,0.90,1.08,733,0,0,0,6.34,5.34,4.88,4.74,VMS 3,,Drenaje,,1.86,1.56,1.68,1.56,3.07,2.35,3.34,3.39
25/04/2025 06:23 a. m.,Ordeño,07:40,7.64,1,,TD,,TD,1,"DI,DD",0.96,1.08,1.20,0.54,0,0,0,0,5.03,5.13,4.02,3.89,VMS 3,,Drenaje,,1.44,1.50,1.80,1.14,2.05,2.32,3.10,0.17
26/04/2025 04:24 a. m.,Ordeño,06:21,11.93,1,,,,,1,TI,0.96,1.26,0.90,1.20,0,0,0,0,4.93,5.14,5.43,4.46,VMS 3,,Tanque,,1.50,1.80,1.32,1.56,2.94,2.67,2.93,3.39
27/04/2025 02:06 a. m.,Ordeño,05:33,10.95,1,,TD,,,1,,1.02,1.14,0.90,0.96,0,0,0,0,5.24,5.37,5.02,4.87,VMS 3,,Tanque,,1.50,1.74,1.26,1.68,3.08,3.09,2.34,2.44
28/04/2025 03:06 a. m.,Ordeño,07:21,14.19,1,,,,,1,,0.96,1.20,0.90,1.08,0,0,0,0,6.22,5.81,5.44,5.44,VMS 3,,Tanque,,1.38,1.68,1.44,1.38,3.57,2.99,3.68,3.95
28/04/2025 10:05 p. m.,Ordeño,07:49,8.29,2,,,DD,DD,1,,0.96,0.00,0.84,0.96,0,0,0,0,5.05,0.00,5.07,4.78,VMS 3,,Tanque,,1.38,0.00,1.32,1.38,2.55,0.00,2.71,3.03
29/04/2025 10:06 a. m.,Ordeño,05:23,9.16,1,,,,,1,DD,0.96,1.14,0.96,1.02,0,0,0,0,4.56,5.50,4.65,3.24,VMS 3,,Tanque,,1.32,1.56,1.38,1.50,1.73,2.81,1.87,2.75
30/04/2025 03:33 a. m.,Ordeño,05:54,12.11,1,,,,,1,,0.90,1.20,0.96,1.08,0,0,0,0,4.56,5.16,4.59,4.58,VMS 3,,Tanque,,1.26,1.56,1.32,1.44,2.78,2.32,3.16,3.85
01/05/2025 12:30 a. m.,Ordeño,07:32,15.24,1,,,,,1,DI,0.96,1.20,0.90,1.08,0,0,0,0,5.49,5.28,4.49,4.77,VMS 3,,Tanque,,1.38,1.56,1.44,1.50,3.64,2.99,4.32,4.29
01/05/2025 08:18 p. m.,Ordeño,06:49,13.52,2,,,,,1,,0.96,1.14,0.90,1.08,0,0,0,0,5.66,5.52,5.08,5.05,VMS 3,,Tanque,,1.32,1.50,1.32,1.44,3.39,2.97,3.47,3.69
03/05/2025 03:28 a. m.,Ordeño,06:51,15.28,1,,,,,1,,1.02,1.08,0.90,1.08,0,0,0,0,6.27,5.83,5.32,5.89,VMS 3,,Tanque,,1.44,1.44,1.44,1.50,3.48,3.15,4.28,4.37
03/05/2025 03:35 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
03/05/2025 05:38 p. m.,Ordeño,04:59,9.10,2,,,,,1,,1.02,1.02,1.02,0.96,0,0,0,0,4.83,5.11,4.82,4.21,VMS 3,,Tanque,,1.38,1.62,1.38,1.50,1.97,2.16,2.22,2.75
04/05/2025 04:38 p. m.,Ordeño,07:53,15.84,1,,,,,1,,1.02,1.08,0.90,1.08,0,0,0,0,5.28,5.21,4.82,5.06,VMS 3,,Tanque,,1.50,1.56,1.44,1.50,3.57,3.39,4.28,4.60
05/05/2025 01:46 a. m.,Ordeño,04:41,7.10,1,,,,,0,,0.90,0.96,0.96,0.90,0,0,0,0,4.70,4.99,4.83,4.38,VMS 3,,Tanque,,1.26,1.44,1.32,1.38,1.50,1.66,1.78,2.16
05/05/2025 07:49 p. m.,Ordeño,07:02,15.40,2,,,,,0,,1.02,1.14,0.90,1.08,0,0,0,0,5.16,5.11,4.81,5.09,VMS 3,,Tanque,,1.44,1.56,1.38,1.44,3.53,3.29,3.94,4.64
06/05/2025 12:03 p. m.,Ordeño,07:18,15.28,1,,,,,1,,1.02,1.08,0.90,1.14,0,0,0,0,4.94,5.06,4.51,4.73,VMS 3,,Tanque,,1.38,1.56,1.44,1.62,3.37,3.29,4.40,4.22
07/05/2025 01:00 a. m.,Ordeño,05:25,11.75,1,,,,,0,,1.08,1.08,1.02,1.14,0,0,0,0,4.97,5.25,4.84,4.37,VMS 3,,Tanque,,1.38,1.50,1.32,1.62,2.66,2.72,2.88,3.49
07/05/2025 08:14 p. m.,Ordeño,06:34,16.26,2,,,,,0,,1.20,1.20,1.02,1.14,0,0,0,0,5.21,5.29,4.88,5.13,VMS 3,,Tanque,,1.50,1.68,1.38,1.62,3.71,3.55,4.32,4.68
