Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
14/07/2025 07:00 p. m.,Ordeño,07:48,10.14,1,,,,,0,DI,1.08,1.14,0.84,0.78,0,0,0,0,6.01,5.28,5.06,5.30,VMS 3,,Divert 3,,1.56,1.50,1.32,1.02,3.63,2.26,1.67,2.58
15/07/2025 10:22 a. m.,Ordeño,07:02,14.04,1,,,,,0,,1.14,1.14,1.02,0.90,0,0,0,0,4.85,5.25,5.08,5.45,VMS 3,,Divert 3,,1.62,1.62,1.50,1.26,4.32,3.73,2.08,3.91
15/07/2025 06:48 p. m.,Ordeño,05:31,8.87,2,,,,,0,,0.96,1.14,0.90,0.96,0,0,0,0,5.08,5.19,5.03,5.54,VMS 3,,Divert 3,,1.38,1.56,1.32,1.32,2.66,2.32,1.55,2.34
16/07/2025 04:22 a. m.,Ordeño,05:29,10.68,1,,,,,0,,1.08,1.26,0.96,1.02,0,0,0,0,4.98,4.93,4.79,5.20,VMS 3,,Divert 3,,1.50,1.80,1.50,1.44,3.20,2.91,1.93,2.64
16/07/2025 01:22 p. m.,Ordeño,06:34,10.34,2,,TD,,,0,,1.20,1.26,1.02,1.08,0,0,0,0,4.89,5.00,4.87,5.07,VMS 3,,Divert 3,,1.56,1.80,1.50,1.44,3.33,2.92,1.59,2.50
16/07/2025 08:23 p. m.,Ordeño,05:20,9.12,3,,,,,0,,1.02,1.32,0.96,0.96,0,0,0,0,4.90,4.85,4.82,4.93,VMS 3,,Divert 3,,1.44,1.86,1.44,1.32,2.76,2.56,1.54,2.26
17/07/2025 06:36 a. m.,Ordeño,05:56,12.58,1,,,,,0,,1.26,1.14,1.02,0.90,0,0,0,0,4.82,4.83,4.85,4.87,VMS 3,,Divert 3,,1.62,1.92,1.38,1.26,3.91,3.47,1.91,3.29
17/07/2025 01:54 p. m.,Ordeño,05:12,9.92,2,,,,,0,,1.08,1.20,0.96,0.96,0,0,0,0,4.88,4.80,4.98,5.03,VMS 3,,Divert 3,,1.44,1.86,1.32,1.44,2.94,2.74,1.74,2.50
17/07/2025 08:20 p. m.,Ordeño,04:59,8.82,3,,,,,0,,1.08,1.14,0.90,0.84,0,0,0,0,4.95,4.86,4.92,4.98,VMS 3,,Divert 3,,1.38,1.62,1.50,1.14,2.43,2.36,1.78,2.25
18/07/2025 08:26 a. m.,Ordeño,06:21,13.84,1,,,,,0,,1.20,1.26,1.08,1.02,0,0,0,0,4.91,4.84,4.95,5.06,VMS 3,,Divert 3,,1.56,1.62,1.62,1.44,4.29,3.79,2.02,3.74
