Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 06:37 a. m.,Ordeño,10:22,7.55,1,,,TI,TI,1,TD,0.54,0.72,0.00,0.30,0,0,0,0,4.41,4.48,0.00,6.36,VMS 2,,Tanque,,1.02,1.08,0.00,0.66,2.99,4.25,0.00,0.31
01/03/2025 06:46 p. m.,Ordeño,16:41,12.23,2,,,,TI,1,TD,0.54,0.72,0.18,0.48,0,0,0,0,4.60,4.70,4.56,6.26,VMS 2,,Tanque,,0.96,1.20,0.36,1.02,2.88,4.84,0.16,4.35
02/03/2025 05:02 a. m.,Ordeño,13:18,5.93,1,,,TI,"TI,TD",0,,0.54,0.60,0.00,0.00,0,0,0,0,4.53,4.57,0.00,0.00,VMS 2,,Tanque,,0.84,0.96,0.00,0.00,2.68,3.25,0.00,0.00
02/03/2025 02:08 p. m.,Ordeño,11:10,8.87,2,,,,TI,1,TD,0.54,0.72,0.18,0.36,0,0,0,0,4.32,4.49,2.95,7.77,VMS 2,,Tanque,,1.02,1.14,0.30,0.78,3.06,4.49,0.15,1.17
02/03/2025 10:06 p. m.,Ordeño,15:22,9.82,3,,,,,1,"TI,TD",0.66,0.66,0.42,0.24,0,0,0,0,4.00,4.03,5.54,6.16,VMS 2,,Tanque,,1.20,1.08,0.72,0.48,2.74,3.53,3.25,0.30
03/03/2025 06:38 a. m.,Ordeño,12:25,5.79,1,,,TI,"TI,TD",0,,0.54,0.60,0.00,0.00,0,0,0,0,4.03,4.20,0.00,0.00,VMS 2,,Tanque,,1.14,0.96,0.00,0.00,2.42,3.37,0.00,0.00
03/03/2025 05:12 p. m.,Ordeño,16:20,13.05,2,,,,,1,TD,0.66,0.60,0.48,0.42,0,0,0,0,4.53,4.87,4.95,7.24,VMS 2,,Tanque,,1.08,1.20,0.84,1.20,3.26,3.41,3.95,2.43
04/03/2025 02:55 a. m.,Ordeño,13:22,9.88,1,,,,TD,0,,0.60,0.60,0.48,0.00,0,0,0,0,4.54,4.68,4.39,0.00,VMS 2,,Tanque,,1.02,0.96,0.78,0.00,2.94,4.06,2.88,0.00
04/03/2025 11:41 a. m.,Ordeño,13:32,6.01,2,,TI,"TI,TD","TI,TD",0,,0.66,0.60,0.48,0.00,0,0,0,0,4.60,4.68,2.14,0.00,VMS 2,,Tanque,,1.02,0.90,0.84,0.00,2.81,3.09,0.11,0.00
04/03/2025 07:06 p. m.,Ordeño,16:48,11.54,3,,,,,1,"TI,TD",0.60,0.60,0.42,0.30,0,0,0,0,4.39,4.42,5.33,7.50,VMS 2,,Tanque,,1.08,1.08,0.72,0.72,2.74,4.06,3.80,0.94
05/03/2025 03:27 a. m.,Ordeño,15:02,10.08,1,,,,,1,TD,0.60,0.60,0.36,0.30,0,0,0,0,4.24,4.23,4.60,5.28,VMS 2,,Tanque,,0.96,0.96,0.66,0.72,3.11,4.11,2.18,0.68
05/03/2025 04:05 p. m.,Ordeño,16:08,15.39,2,,,,TD,1,,0.60,0.66,0.48,0.00,0,0,0,0,4.04,4.03,4.62,0.00,VMS 2,,Tanque,,1.08,1.08,1.08,0.00,4.66,6.50,4.23,0.00
06/03/2025 03:45 a. m.,Ordeño,13:28,8.25,1,,,TD,TD,1,,0.54,0.54,0.36,0.00,0,0,0,0,4.25,4.29,4.68,0.00,VMS 2,,Tanque,,0.96,0.96,0.66,0.00,2.79,3.38,2.08,0.00
