Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
12/06/2025 11:47 a. m.,Ordeño,14:18,6.02,1,,,,,0,TI,0.48,0.54,0.60,0.84,2675,483,1480,976,3.72,3.54,4.30,4.12,VMS 3,,Divert 3,,1.08,1.38,1.02,1.44,0.94,1.29,0.97,2.82
13/06/2025 03:33 a. m.,Ordeño,07:15,9.09,1,,,,,0,,1.08,0.90,0.84,0.78,1172,0,669,678,5.45,5.68,5.45,5.59,VMS 3,,Divert 3,,1.56,1.50,1.32,1.26,2.41,1.92,2.13,2.63
14/06/2025 11:47 p. m.,Ordeño,07:09,14.76,1,,,,,1,,1.20,1.26,1.02,1.08,1267,387,581,375,5.65,5.70,6.05,6.32,VMS 3,,Divert 3,,1.62,1.68,1.44,1.50,3.38,3.18,3.56,4.64
16/06/2025 07:33 a. m.,Ordeño,05:05,7.92,1,,,,,0,,1.08,1.14,1.02,0.96,346,0,0,380,4.86,5.03,5.13,5.21,VMS 3,,Divert 3,,1.38,1.56,1.38,1.32,1.93,1.67,1.89,2.43
17/06/2025 11:40 a. m.,Ordeño,06:53,11.97,1,,,,,0,,1.26,1.32,1.02,1.08,0,0,0,0,5.06,5.56,5.33,5.70,VMS 3,,Tanque,,1.80,1.74,1.44,1.44,2.21,3.05,2.60,4.11
19/06/2025 07:13 a. m.,Ordeño,07:07,15.67,1,,,,,0,,1.20,1.20,1.08,1.02,0,0,0,0,5.79,5.76,5.52,5.97,VMS 3,,Tanque,,1.68,1.62,1.44,1.38,3.79,3.72,3.42,4.74
20/06/2025 11:14 a. m.,Ordeño,05:33,12.06,1,,,,,0,,1.14,1.14,1.08,1.20,0,0,0,0,5.18,5.22,5.78,4.92,VMS 3,,Tanque,,1.56,1.56,1.44,3.72,2.64,2.54,2.82,4.06
21/06/2025 09:12 a. m.,Ordeño,06:08,12.72,1,,TI,,,1,,1.20,1.32,1.20,1.02,0,0,0,0,4.90,5.04,4.96,5.46,VMS 3,,Tanque,,1.68,1.74,1.44,1.38,2.66,3.06,2.92,4.08
21/06/2025 11:57 p. m.,Ordeño,05:03,9.41,1,,"TI,TD",,,1,,1.20,1.26,1.08,1.14,0,0,0,0,5.12,5.19,5.03,5.40,VMS 3,,Tanque,,1.62,1.62,1.38,1.50,2.56,2.01,2.29,2.55
