Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
16/04/2025 03:35 p. m.,Ordeño,13:52,14.71,1,,,,,0,,1.62,0.66,2.22,2.22,0,0,0,0,4.72,4.69,4.28,4.60,VMS 3,,Tanque,,2.52,1.20,3.12,3.18,3.33,4.40,3.17,3.81
17/04/2025 09:36 a. m.,Ordeño,08:07,18.67,1,,,,TD,0,,2.04,1.68,2.28,0.00,0,0,0,0,4.89,4.54,4.72,0.00,VMS 3,,Tanque,,2.82,2.70,2.94,0.00,7.04,5.38,6.25,0.00
17/04/2025 06:25 p. m.,Ordeño,14:17,6.46,2,,,,TD,0,,1.80,,2.46,0.00,0,,0,0,4.87,,4.86,0.00,VMS 3,,Tanque,,2.40,,3.06,0.00,2.93,,3.53,0.00
18/04/2025 03:25 a. m.,Ordeño,08:37,4.05,1,,,TI,"TI,TD",0,,2.40,,0.00,0.00,0,,0,0,4.95,,0.00,0.00,VMS 3,,Tanque,,3.00,,0.00,0.00,4.05,,0.00,0.00
18/04/2025 09:43 a. m.,Ordeño,11:43,16.07,2,,,,,0,,1.86,,2.16,2.28,0,,0,0,4.74,,5.00,4.25,VMS 3,,Tanque,,2.64,,2.76,3.06,3.23,,5.19,7.65
19/04/2025 01:33 a. m.,Ordeño,06:49,28.14,1,,,,,0,,1.92,2.40,1.98,2.58,0,0,0,0,4.89,4.66,4.58,4.83,VMS 3,,Tanque,,3.06,3.42,2.76,3.24,7.25,8.04,6.58,6.27
19/04/2025 03:59 p. m.,Ordeño,12:22,18.48,2,,,TD,TD,1,,2.28,2.22,2.34,0.00,0,0,0,0,5.07,4.93,5.01,0.00,VMS 3,,Tanque,,3.12,3.06,3.00,0.00,6.36,6.06,6.06,0.00
19/04/2025 06:36 p. m.,Ordeño,09:28,3.83,3,,,TD,TD,0,,1.20,1.26,1.68,0.00,0,0,0,0,4.23,4.53,4.22,0.00,VMS 3,,Tanque,,2.22,2.10,2.34,0.00,1.27,1.68,0.88,0.00
19/04/2025 10:24 p. m.,Ordeño,10:26,4.46,4,,,TD,TD,0,,1.02,1.80,1.80,0.00,0,0,0,0,4.72,4.93,4.90,0.00,VMS 3,,Tanque,,2.16,2.58,2.34,0.00,1.35,1.78,1.33,0.00
20/04/2025 09:44 a. m.,Ordeño,08:02,9.66,1,,,"DD,TD","DD,TD",0,,2.10,0.00,2.16,0.00,0,0,0,0,5.18,0.00,5.01,0.00,VMS 3,,Tanque,,2.64,0.00,2.64,0.00,4.53,0.00,5.13,0.00
20/04/2025 02:11 p. m.,Ordeño,07:36,4.89,2,,,"DD,TD","DD,TD",0,,2.16,0.00,2.16,0.00,0,0,0,0,4.74,0.00,4.61,0.00,VMS 3,,Tanque,,3.12,0.00,2.70,0.00,2.61,0.00,2.28,0.00
20/04/2025 06:58 p. m.,Ordeño,12:29,8.71,3,,,TD,TD,0,,2.22,2.16,1.92,0.00,0,0,0,0,4.88,4.36,4.62,0.00,VMS 3,,Tanque,,3.36,2.70,2.64,0.00,2.58,4.10,2.03,0.00
21/04/2025 01:59 a. m.,Echada sin ordeñar,02:21,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
21/04/2025 07:31 a. m.,Ordeño,13:55,17.78,1,,,TD,TD,1,,2.04,2.04,2.46,0.00,0,0,0,0,5.21,4.90,4.45,0.00,VMS 3,,Tanque,,2.76,2.82,3.54,0.00,6.37,5.08,6.33,0.00
21/04/2025 05:20 p. m.,Ordeño,07:29,20.51,2,,,DD,DD,0,,2.16,0.00,2.58,2.64,0,0,0,0,4.89,0.00,4.73,4.79,VMS 3,,Tanque,,2.88,0.00,3.48,3.48,5.41,0.00,5.28,9.82
22/04/2025 02:41 a. m.,Ordeño,07:40,22.74,1,,,,,0,,1.80,2.04,2.22,1.62,0,0,0,0,4.89,4.66,4.45,4.69,VMS 3,,Tanque,,2.70,2.64,3.24,2.46,5.15,7.67,5.61,4.31
22/04/2025 09:32 a. m.,Ordeño,05:36,15.20,2,,,,,0,,1.74,1.92,1.98,1.74,0,0,0,0,4.75,4.79,4.39,4.89,VMS 3,,Tanque,,2.88,2.58,2.88,3.00,4.09,3.97,3.96,3.18
22/04/2025 03:59 p. m.,Ordeño,11:07,6.88,3,,,DD,DD,0,,1.26,0.00,1.86,1.92,0,0,0,0,4.74,0.00,5.06,5.07,VMS 3,,Tanque,,2.10,0.00,2.58,2.46,2.22,0.00,2.02,2.64
22/04/2025 07:18 p. m.,Ordeño,08:44,11.51,4,,,,,0,,1.74,2.16,2.04,1.92,0,0,0,0,4.41,4.82,4.79,5.08,VMS 3,,Tanque,,2.82,2.70,2.82,2.40,2.67,4.11,2.52,2.21
23/04/2025 11:04 a. m.,Ordeño,08:23,28.52,1,,,,,1,,1.98,2.16,2.22,2.64,0,0,0,0,5.06,4.97,5.06,5.61,VMS 3,,Tanque,,3.30,2.94,2.94,3.30,7.22,7.56,6.50,7.24
23/04/2025 05:26 p. m.,Ordeño,10:35,7.35,2,,,"DD,TD","DD,TD",0,,1.74,0.00,2.04,0.00,0,0,0,0,4.53,0.00,5.01,0.00,VMS 3,,Tanque,,2.64,0.00,2.58,0.00,3.94,0.00,3.41,0.00
