Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 01:06 a. m.,Ordeño,08:29,20.64,1,,,,,0,,1.32,1.26,1.02,1.26,0,0,0,0,5.30,5.28,5.24,0.00,VMS 1,,Tanque,,1.68,1.62,1.50,1.86,4.62,3.88,6.17,5.97
01/03/2025 09:57 a. m.,Ordeño,08:03,22.72,2,,,,,0,,1.32,1.14,1.20,1.32,0,0,0,0,5.57,5.46,5.58,0.00,VMS 1,,Tanque,,1.68,1.50,1.56,1.68,4.93,4.37,6.75,6.67
01/03/2025 05:45 p. m.,Ordeño,08:20,18.83,3,,,,,0,,1.32,1.14,1.02,1.32,0,0,0,0,5.42,5.48,5.45,0.00,VMS 1,,Tanque,,1.68,1.50,1.38,1.74,4.05,3.56,5.94,5.28
02/03/2025 03:10 a. m.,Ordeño,08:23,23.48,1,,,,,0,,1.44,1.08,1.14,1.26,0,0,0,0,5.54,5.43,5.45,0.00,VMS 1,,Tanque,,1.80,1.50,1.62,1.74,5.07,4.63,6.98,6.80
02/03/2025 10:57 a. m.,Ordeño,07:37,20.21,2,,,,,0,,1.32,1.20,1.14,1.44,0,0,0,0,5.52,5.56,5.60,0.00,VMS 1,,Tanque,,1.74,1.56,1.50,2.04,4.24,3.95,6.00,6.02
02/03/2025 05:58 p. m.,Ordeño,08:44,18.61,3,,,,,0,,1.26,1.20,1.02,1.26,0,0,0,0,5.45,5.52,5.45,0.00,VMS 1,,Tanque,,1.80,1.50,1.44,1.74,4.00,3.56,5.48,5.57
03/03/2025 01:02 a. m.,Ordeño,08:04,19.30,1,,,,,0,,1.32,1.14,1.14,1.20,0,0,0,0,5.41,5.44,5.43,0.00,VMS 1,,Tanque,,2.10,1.62,1.56,2.04,4.07,3.75,5.83,5.65
03/03/2025 08:43 a. m.,Ordeño,11:18,19.85,2,,,,,0,,1.32,1.20,0.96,1.26,0,0,0,0,5.71,5.62,5.62,0.00,VMS 1,,Tanque,,1.74,1.62,1.44,1.80,4.28,3.64,6.00,5.93
03/03/2025 02:49 p. m.,Ordeño,07:28,15.86,3,,,,,0,,1.14,1.08,1.02,1.26,0,0,0,0,5.32,5.34,5.42,0.00,VMS 1,,Tanque,,1.62,1.68,1.44,1.74,3.42,3.11,4.84,4.49
03/03/2025 10:19 p. m.,Ordeño,09:28,19.28,4,,,,,0,,1.14,1.08,0.90,1.26,0,0,0,0,5.53,5.46,5.50,0.00,VMS 1,,Tanque,,1.50,1.50,1.26,1.98,4.08,3.54,6.14,5.52
04/03/2025 05:03 a. m.,Ordeño,07:36,18.68,1,,,,,0,,1.26,1.08,1.14,1.26,0,0,0,0,5.31,5.29,5.20,0.00,VMS 1,,Tanque,,1.62,1.62,1.50,1.68,4.12,3.46,5.64,5.46
04/03/2025 01:51 p. m.,Ordeño,08:37,22.28,2,,,,,0,,1.26,1.02,1.08,1.14,0,0,0,0,5.38,5.35,5.28,0.00,VMS 1,,Tanque,,1.68,1.38,1.68,1.56,4.70,4.41,6.65,6.52
05/03/2025 12:23 a. m.,Ordeño,08:59,26.47,1,,,,,0,,1.32,1.08,1.20,1.32,0,0,0,0,5.37,5.22,5.29,0.00,VMS 1,,Tanque,,1.68,1.50,1.62,1.68,5.49,5.21,8.19,7.58
05/03/2025 07:42 a. m.,Ordeño,07:09,18.48,2,,DI,,,0,,1.38,1.20,1.20,1.20,0,0,0,0,5.17,5.22,5.22,0.00,VMS 1,,Tanque,,1.98,1.68,1.80,1.68,4.08,3.57,5.63,5.20
05/03/2025 02:13 p. m.,Ordeño,07:15,15.31,3,,,,,0,,1.20,1.08,1.08,1.20,0,0,0,0,5.15,5.15,5.17,0.00,VMS 1,,Tanque,,1.56,1.56,1.50,1.56,3.35,2.99,4.57,4.40
06/03/2025 07:00 a. m.,Ordeño,09:46,29.78,1,,,,,0,,1.32,1.08,1.26,1.32,0,0,0,0,5.61,5.65,5.55,0.00,VMS 1,,Tanque,,1.80,1.62,1.80,1.92,6.90,6.15,7.52,9.21
06/03/2025 03:50 p. m.,Ordeño,11:04,20.33,2,,,,,0,,1.20,1.02,0.78,1.14,0,0,0,0,5.27,5.27,5.15,0.00,VMS 1,,Tanque,,1.74,1.50,1.38,1.62,4.65,4.01,6.04,5.63
06/03/2025 10:34 p. m.,Ordeño,08:11,16.15,3,,,,,0,,1.20,1.08,0.96,1.26,0,0,0,0,5.27,5.25,5.29,0.00,VMS 1,,Tanque,,1.62,1.44,1.32,1.74,3.48,3.15,5.05,4.47
07/03/2025 10:31 a. m.,Ordeño,10:55,30.46,1,,,,,0,,1.32,1.26,1.08,1.32,0,0,0,0,5.67,5.46,5.42,0.00,VMS 1,,Tanque,,1.98,1.74,1.56,1.74,6.49,5.75,9.42,8.80
07/03/2025 06:32 p. m.,Ordeño,09:12,17.49,2,,,,,0,,1.20,1.02,0.96,1.20,0,0,0,0,4.98,4.94,4.95,0.00,VMS 1,,Tanque,,1.56,1.38,1.32,1.62,3.72,3.11,5.71,4.95
