Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 10:30 a. m.,Ordeño,07:21,15.25,1,,,,,0,,1.26,0.66,1.68,,0,0,0,,4.58,4.54,4.36,,VMS 3,,Tanque,,1.62,1.02,2.34,,4.58,3.24,7.43,
02/03/2025 12:25 a. m.,Ordeño,09:14,17.99,1,,,,,0,,1.20,0.60,1.68,,0,0,0,,4.66,4.58,4.33,,VMS 3,,Tanque,,1.68,0.96,2.10,,5.24,3.92,8.83,
02/03/2025 06:00 p. m.,Ordeño,09:23,20.29,2,,,,,1,,1.26,0.66,1.68,,0,0,0,,4.56,4.57,4.35,,VMS 3,,Tanque,,1.74,1.02,2.22,,6.00,4.40,9.89,
03/03/2025 03:25 a. m.,Ordeño,05:05,8.23,1,,,,,0,,1.26,0.60,1.56,,0,0,468,,4.12,4.00,3.96,,VMS 3,,Tanque,,1.74,0.96,1.98,,2.46,1.88,3.89,
03/03/2025 03:56 p. m.,Ordeño,06:37,13.81,2,,,,,0,,1.26,0.72,1.80,,0,0,0,,4.50,4.42,4.17,,VMS 3,,Tanque,,1.68,1.14,2.28,,4.11,3.04,6.66,
04/03/2025 03:13 a. m.,Ordeño,07:08,13.55,1,,,,,0,,1.32,0.66,1.74,,0,0,0,,4.48,4.50,4.36,,VMS 3,,Tanque,,1.68,1.50,2.52,,3.94,3.02,6.59,
04/03/2025 06:56 p. m.,Ordeño,08:51,19.07,2,,,,,0,,1.20,0.66,1.74,,0,0,0,,4.69,4.68,4.47,,VMS 3,,Tanque,,1.62,1.02,2.10,,5.37,4.27,9.43,
05/03/2025 02:06 p. m.,Ordeño,10:18,20.62,1,,,,,0,,1.26,0.60,1.74,,0,0,0,,4.59,4.44,4.29,,VMS 3,,Tanque,,1.68,1.02,2.16,,6.32,4.62,9.68,
05/03/2025 11:48 p. m.,Ordeño,05:29,10.03,2,,,,,0,,1.08,0.66,1.56,,0,0,0,,3.96,3.88,3.95,,VMS 3,,Tanque,,1.44,1.02,2.04,,3.08,2.29,4.66,
06/03/2025 02:01 p. m.,Ordeño,07:45,15.58,1,,,,,0,,1.08,0.66,1.74,,0,0,0,,4.70,4.51,4.41,,VMS 3,,Tanque,,1.56,1.02,2.16,,4.57,3.40,7.61,
07/03/2025 12:48 a. m.,Ordeño,07:00,13.37,1,,,,,0,,1.14,0.60,1.62,,0,0,0,,4.57,4.52,4.34,,VMS 3,,Tanque,,1.56,0.90,2.04,,3.95,2.87,6.55,
07/03/2025 08:10 a. m.,Ordeño,05:20,9.43,2,,,,,0,,1.14,0.66,1.62,,0,0,0,,4.68,4.59,4.40,,VMS 3,,Tanque,,1.80,0.96,2.04,,2.80,2.04,4.59,
07/03/2025 07:17 p. m.,Ordeño,06:46,14.20,3,,,,,0,,1.20,0.66,1.74,,0,0,0,,4.90,4.72,4.61,,VMS 3,,Tanque,,1.68,1.02,2.22,,4.07,3.11,7.02,
08/03/2025 09:27 a. m.,Ordeño,12:49,17.31,1,,,,,0,,1.26,0.78,1.80,,0,0,0,,4.88,4.73,4.50,,VMS 3,,Tanque,,1.74,1.14,2.34,,5.18,4.10,8.03,
08/03/2025 07:32 p. m.,Ordeño,06:17,12.58,2,,,,,0,,1.14,0.66,1.68,,0,0,0,,4.46,4.39,4.27,,VMS 3,,Tanque,,1.80,1.14,2.04,,3.83,2.78,5.97,
09/03/2025 01:41 a. m.,Ordeño,05:19,7.28,1,,,,,0,,0.96,0.60,1.50,,0,0,0,,4.42,4.32,4.21,,VMS 3,,Tanque,,1.44,0.90,1.92,,2.07,1.66,3.55,
09/03/2025 12:26 p. m.,Ordeño,06:52,13.70,2,,,,,0,,1.32,0.66,1.92,,0,0,0,,4.68,4.62,4.58,,VMS 3,,Tanque,,1.68,1.08,2.40,,4.12,3.04,6.54,
09/03/2025 07:44 p. m.,Ordeño,05:04,8.80,3,,,,,0,,1.14,0.66,1.74,,0,0,0,,4.46,4.43,4.32,,VMS 3,,Tanque,,1.62,1.02,2.16,,2.67,1.95,4.18,
10/03/2025 03:36 a. m.,Ordeño,06:04,9.81,1,,,,,0,,1.14,0.60,1.74,,0,0,0,,4.64,4.55,4.45,,VMS 3,,Tanque,,1.62,0.90,2.46,,2.93,2.25,4.63,
10/03/2025 09:31 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
10/03/2025 06:19 p. m.,Ordeño,08:31,19.45,2,,,,,0,,1.26,0.72,1.92,,0,0,0,,4.92,4.75,4.46,,VMS 3,,Tanque,,1.80,1.14,2.88,,5.65,4.48,9.32,
11/03/2025 01:37 a. m.,Ordeño,06:09,10.14,1,,,,,0,,0.96,0.60,1.68,,0,0,0,,4.31,4.30,4.18,,VMS 3,,Tanque,,1.38,0.84,2.34,,2.99,2.24,4.91,
11/03/2025 01:18 p. m.,Ordeño,07:39,16.42,2,,,,,0,,1.32,0.72,1.92,,0,0,0,,4.85,4.66,4.48,,VMS 3,,Tanque,,1.74,0.96,2.34,,4.92,3.68,7.82,
11/03/2025 11:59 p. m.,Ordeño,06:53,14.32,1,,,,,0,,1.20,0.66,1.50,,0,0,0,,4.53,4.44,4.29,,VMS 3,,Tanque,,1.86,1.02,2.10,,4.08,3.16,7.08,
12/03/2025 01:42 p. m.,Ordeño,08:00,18.68,2,,,,,0,,1.32,0.78,1.98,,0,0,0,,4.90,4.71,4.43,,VMS 3,,Tanque,,1.80,1.14,2.52,,5.59,4.17,8.92,
12/03/2025 11:03 p. m.,Ordeño,06:11,11.71,3,,,,,0,,1.14,0.66,1.44,,0,0,0,,4.38,4.32,4.31,,VMS 3,,Tanque,,1.56,1.02,1.92,,3.39,2.69,5.63,
