Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 12:49 a. m.,Ordeño,10:28,7.28,1,,DI,"TI,TD",TD,1,,1.26,1.56,1.14,0.00,0,0,0,0,5.61,5.22,5.74,0.00,VMS 2,,Tanque,,1.92,2.40,1.98,0.00,2.34,4.23,0.71,0.00
01/03/2025 06:58 a. m.,Ordeño,08:25,16.99,2,,DD,,,1,,1.32,1.62,1.14,1.14,0,0,0,0,5.42,5.30,5.32,5.67,VMS 2,,Tanque,,1.92,2.22,1.50,1.68,2.95,3.82,5.76,4.46
01/03/2025 07:19 p. m.,Ordeño,08:55,21.46,3,,DD,,,1,DI,1.44,1.86,1.26,1.26,0,0,0,0,6.35,5.17,5.28,5.51,VMS 2,,Tanque,,1.98,2.58,1.68,1.98,6.05,5.44,5.33,4.64
02/03/2025 06:48 a. m.,Ordeño,07:52,19.75,1,,DD,,,1,,1.56,1.62,1.26,1.02,0,0,0,0,5.68,5.04,5.15,5.24,VMS 2,,Tanque,,2.04,2.52,1.62,1.50,5.37,5.70,4.82,3.86
02/03/2025 12:11 p. m.,Ordeño,06:29,9.50,2,,,,,1,,1.38,1.80,1.32,0.90,0,0,0,0,5.19,4.96,5.02,5.20,VMS 2,,Tanque,,1.98,2.64,1.68,1.56,2.42,3.21,2.25,1.62
03/03/2025 12:46 a. m.,Ordeño,08:43,21.14,1,,DD,,,1,DI,1.38,1.62,1.26,0.90,0,0,0,0,6.42,5.17,5.33,5.52,VMS 2,,Tanque,,2.10,2.28,1.74,1.50,5.87,5.70,5.62,3.95
03/03/2025 11:22 a. m.,Ordeño,08:47,17.36,2,,,,,1,DI,1.44,1.74,1.20,0.96,0,0,0,0,6.09,5.00,5.14,5.40,VMS 2,,Tanque,,1.98,2.82,1.62,1.44,4.46,5.32,4.37,3.21
03/03/2025 06:39 p. m.,Ordeño,05:59,12.53,3,,DD,,,1,DI,1.38,1.68,1.14,0.96,0,0,0,0,5.82,4.95,4.93,5.14,VMS 2,,Tanque,,2.40,2.58,1.68,1.50,3.23,3.68,3.15,2.47
04/03/2025 03:18 a. m.,Ordeño,09:18,14.37,1,,DD,,,1,DI,1.50,1.68,1.20,0.72,0,0,0,0,5.88,5.21,5.13,5.01,VMS 2,,Tanque,,1.98,2.34,1.74,1.32,3.74,4.70,3.66,2.27
04/03/2025 11:25 a. m.,Ordeño,08:44,14.16,2,,DD,,,1,DI,1.44,1.68,1.02,0.72,0,0,0,0,6.28,5.34,5.31,5.57,VMS 2,,Tanque,,1.86,2.58,1.44,1.38,3.53,4.67,3.52,2.44
05/03/2025 01:42 a. m.,Ordeño,07:29,20.42,1,,DD,,,1,DI,1.26,1.68,1.26,1.02,0,0,0,0,6.27,4.89,5.13,5.22,VMS 2,,Tanque,,1.74,2.34,1.74,1.50,5.94,5.02,5.73,3.73
05/03/2025 11:29 a. m.,Ordeño,05:28,15.32,2,,,,,1,DI,1.50,1.86,1.20,1.08,0,0,0,0,5.99,5.10,5.13,5.29,VMS 2,,Tanque,,2.04,2.34,1.62,1.56,3.73,5.00,3.77,2.82
06/03/2025 02:02 a. m.,Ordeño,08:22,21.71,1,,DD,,,1,DI,1.50,1.68,1.32,0.96,0,0,0,0,6.27,4.84,5.14,5.25,VMS 2,,Tanque,,1.98,2.34,1.68,1.50,5.61,5.76,5.96,4.38
06/03/2025 11:55 a. m.,Ordeño,06:25,17.15,2,,,,,1,,1.44,1.98,1.26,0.96,0,0,0,0,5.85,5.03,5.22,5.28,VMS 2,,Tanque,,1.92,2.82,1.62,1.44,4.14,5.82,4.22,2.97
06/03/2025 06:00 p. m.,Ordeño,06:14,10.11,3,,,,,1,,1.44,1.80,1.14,1.02,0,0,0,0,5.50,4.97,5.01,5.09,VMS 2,,Tanque,,1.92,2.58,1.50,1.44,2.47,3.44,2.44,1.76
07/03/2025 02:34 a. m.,Ordeño,07:41,12.35,1,,,TD,TD,1,,1.38,1.86,1.14,0.00,0,0,0,0,5.65,4.88,5.01,0.00,VMS 2,,Tanque,,2.10,2.76,1.56,0.00,3.83,4.78,3.74,0.00
07/03/2025 05:18 p. m.,Ordeño,08:35,14.91,2,,,TD,TD,1,DI,1.56,1.86,1.20,0.00,0,0,0,0,6.58,4.89,5.11,0.00,VMS 2,,Tanque,,2.04,2.34,1.50,0.00,4.68,4.78,5.45,0.00
08/03/2025 06:20 a. m.,Ordeño,08:12,20.92,1,,DD,,,1,DI,1.32,1.74,1.26,1.02,0,0,0,0,6.51,4.96,5.11,5.34,VMS 2,,Tanque,,1.86,2.16,1.56,1.50,5.43,5.13,5.29,5.07
08/03/2025 06:09 p. m.,Ordeño,08:12,18.29,2,,,,,1,DI,1.50,1.92,1.26,1.08,0,0,0,0,6.27,5.09,5.19,5.41,VMS 2,,Tanque,,1.98,2.64,1.68,1.74,4.61,5.29,4.77,3.62
09/03/2025 11:33 a. m.,Ordeño,08:28,20.22,1,,,,,1,DI,1.56,1.68,1.44,0.84,0,0,0,0,6.56,4.96,4.97,5.35,VMS 2,,Tanque,,2.04,2.46,1.92,1.50,5.87,5.17,4.94,4.24
09/03/2025 07:45 p. m.,Ordeño,07:19,11.55,2,,,,,1,DI,1.38,1.86,1.20,1.02,0,0,0,0,5.82,4.84,4.92,5.00,VMS 2,,Tanque,,2.10,2.88,1.56,1.50,2.76,3.72,2.83,2.24
10/03/2025 05:13 a. m.,Ordeño,09:39,13.28,1,,DD,,TD,1,,1.26,1.68,1.14,0.00,0,0,0,0,5.84,5.26,4.97,0.00,VMS 2,,Tanque,,1.74,2.34,1.62,0.00,3.90,5.34,4.04,0.00
10/03/2025 05:44 p. m.,Ordeño,09:12,21.49,2,,DD,,,1,DI,1.38,1.86,1.20,0.96,0,0,0,0,6.15,5.37,5.26,5.53,VMS 2,,Tanque,,1.92,2.58,1.62,1.56,5.13,6.54,4.97,4.85
11/03/2025 10:51 a. m.,Ordeño,08:42,23.89,1,,DD,,,1,DI,1.50,1.74,1.32,0.84,0,0,0,0,6.66,4.85,5.22,5.32,VMS 2,,Tanque,,2.28,2.52,1.62,1.44,6.96,5.25,6.94,4.74
12/03/2025 01:57 a. m.,Ordeño,07:54,20.62,1,,DD,,,1,DI,1.26,1.62,1.20,1.02,0,0,0,0,6.27,4.97,5.13,5.33,VMS 2,,Tanque,,1.68,2.40,1.56,1.62,5.69,5.18,5.70,4.05
12/03/2025 02:57 p. m.,Ordeño,06:55,20.12,2,,,,,1,DI,1.50,1.80,1.26,1.08,0,0,0,0,6.59,5.24,5.32,5.36,VMS 2,,Tanque,,1.98,2.40,1.62,1.62,5.08,5.71,5.29,4.04
