Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 09:28 a. m.,Ordeño,07:55,19.40,1,,,,,0,,1.02,1.44,1.26,1.08,0,0,0,0,5.15,5.57,4.99,5.19,VMS 2,,Tanque,,1.68,2.22,1.62,1.68,4.98,2.06,6.27,6.09
01/03/2025 09:18 p. m.,Ordeño,08:29,19.32,2,,,,,0,,0.96,1.38,1.20,1.20,0,0,0,0,4.87,5.38,5.02,4.97,VMS 2,,Tanque,,1.68,2.04,1.56,1.98,4.83,2.02,6.10,6.37
02/03/2025 05:29 a. m.,Ordeño,07:34,10.36,1,,,,,0,,0.90,1.02,0.84,0.72,0,0,0,0,4.67,4.97,4.75,4.71,VMS 2,,Tanque,,1.26,1.50,1.20,1.44,2.77,1.17,3.75,2.67
02/03/2025 02:37 p. m.,Ordeño,07:08,17.21,2,,,,,0,,1.02,1.44,1.20,1.20,0,0,0,0,5.46,5.97,5.54,5.74,VMS 2,,Tanque,,1.56,1.98,1.56,1.86,4.36,1.71,5.59,5.55
03/03/2025 01:59 a. m.,Ordeño,08:01,18.75,1,,,,,1,,0.96,1.26,1.20,1.14,0,0,0,0,5.27,5.84,5.13,5.32,VMS 2,,Tanque,,1.56,1.86,1.44,1.74,4.90,2.12,5.89,5.84
03/03/2025 09:39 a. m.,Ordeño,07:13,13.50,2,,,,,0,,0.90,1.20,1.02,1.02,0,0,0,0,5.23,5.48,5.20,5.27,VMS 2,,Tanque,,1.32,1.80,1.38,1.50,3.41,1.50,4.48,4.11
03/03/2025 07:28 p. m.,Ordeño,08:13,18.53,3,,,,,0,,1.08,1.38,1.20,1.08,0,0,0,0,5.61,6.02,5.40,5.68,VMS 2,,Tanque,,1.50,1.74,1.56,1.56,4.82,1.91,5.93,5.87
04/03/2025 08:39 a. m.,Ordeño,08:25,19.07,1,,,,,1,,1.08,1.44,1.20,1.08,0,0,0,0,5.27,5.61,5.19,5.17,VMS 2,,Tanque,,1.92,2.16,1.50,1.74,5.72,2.26,5.56,5.53
04/03/2025 04:13 p. m.,Ordeño,07:12,13.05,2,,,,,0,,0.96,1.14,1.02,0.96,0,0,0,0,5.14,5.35,5.12,5.22,VMS 2,,Tanque,,1.38,1.50,1.32,1.62,3.39,1.29,4.41,3.96
05/03/2025 07:30 a. m.,Ordeño,07:35,17.53,1,,,,,0,,1.02,1.14,1.20,1.08,0,0,0,0,5.00,5.44,4.99,5.14,VMS 2,,Tanque,,1.38,1.68,1.44,1.86,4.47,2.47,5.42,5.17
05/03/2025 07:38 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 2,,,,,,,,,,,
05/03/2025 04:29 p. m.,Ordeño,06:33,11.32,2,,,,,0,,0.90,1.20,1.08,0.90,0,0,0,0,4.84,5.04,5.01,5.13,VMS 2,,Tanque,,1.44,1.80,1.50,1.32,3.12,1.32,3.70,3.18
06/03/2025 02:48 a. m.,Ordeño,09:35,13.28,1,,,,,0,,0.96,1.14,0.96,0.78,0,0,0,0,4.79,4.98,4.81,4.92,VMS 2,,Tanque,,1.38,1.68,1.56,1.20,3.46,1.44,4.61,3.77
07/03/2025 12:29 a. m.,Ordeño,08:00,20.18,1,,,,,1,,1.20,1.02,1.14,1.08,0,0,0,0,5.25,5.77,5.06,5.36,VMS 2,,Tanque,,1.68,1.56,1.56,1.74,5.44,2.92,5.76,6.06
07/03/2025 04:34 p. m.,Ordeño,08:14,19.73,2,,,,,1,,1.20,1.38,1.26,1.26,0,0,0,0,5.18,5.36,4.98,5.12,VMS 2,,Tanque,,1.74,1.80,1.62,1.98,5.84,2.22,5.70,5.97
08/03/2025 07:44 a. m.,Ordeño,08:18,20.08,1,,,,,1,DD,1.08,1.50,1.20,1.26,0,0,0,0,5.30,6.04,5.17,5.33,VMS 2,,Tanque,,1.50,1.86,1.56,1.80,5.57,2.22,5.67,6.62
08/03/2025 08:56 p. m.,Ordeño,09:32,18.56,2,,,,,1,,1.02,1.32,1.20,1.14,0,0,0,0,5.40,5.78,5.26,5.48,VMS 2,,Tanque,,1.74,1.92,1.62,1.74,4.97,2.10,6.15,5.34
09/03/2025 10:51 a. m.,Ordeño,08:06,19.86,1,,,,,1,,1.20,1.32,1.14,1.32,0,0,0,0,5.42,5.77,5.24,5.48,VMS 2,,Tanque,,1.68,1.80,1.50,1.74,5.39,2.12,6.45,5.90
10/03/2025 02:32 a. m.,Ordeño,07:50,17.96,1,,,,,1,,1.20,1.20,1.08,1.02,0,0,0,0,5.30,5.94,5.09,5.31,VMS 2,,Tanque,,1.74,1.68,1.50,1.68,5.05,2.46,5.54,4.91
10/03/2025 10:51 a. m.,Ordeño,07:45,16.12,2,,,,,0,,0.96,1.14,1.08,1.08,0,0,0,0,5.48,5.79,5.40,5.65,VMS 2,,Tanque,,1.38,1.98,1.38,1.62,4.23,1.62,5.26,5.01
11/03/2025 11:15 a. m.,Ordeño,08:38,19.83,1,,,,,0,DD,1.38,1.32,1.20,1.08,0,0,0,0,5.17,5.86,4.95,5.06,VMS 2,,Tanque,,1.86,1.80,1.56,1.68,5.48,3.05,5.84,5.46
12/03/2025 09:33 a. m.,Ordeño,07:56,20.20,1,,,,,1,DD,1.14,1.62,1.14,1.08,0,0,0,0,5.27,6.17,5.13,5.34,VMS 2,,Tanque,,1.62,2.16,1.50,1.74,5.72,3.07,5.63,5.78
13/03/2025 03:37 a. m.,Ordeño,07:57,18.97,1,,,,,1,,1.32,1.26,1.20,1.08,0,0,0,0,5.43,5.78,5.10,5.13,VMS 2,,Tanque,,1.68,1.86,1.68,1.56,5.98,2.30,5.56,5.13
13/03/2025 10:53 a. m.,Ordeño,05:27,10.66,2,,,,,0,,1.14,1.14,1.14,1.26,0,0,0,0,5.02,5.19,5.06,4.90,VMS 2,,Tanque,,1.62,1.74,1.50,1.80,2.64,1.03,3.48,3.51
13/03/2025 08:59 p. m.,Ordeño,08:41,18.90,3,,,,,0,,1.08,1.20,1.26,1.50,0,0,0,0,5.53,5.84,5.34,5.06,VMS 2,,Tanque,,1.50,1.74,1.74,2.52,4.56,1.85,6.18,6.31
14/03/2025 06:12 a. m.,Ordeño,07:29,18.05,1,,,,,0,,0.96,1.08,1.14,1.38,0,0,0,0,5.39,5.55,5.22,5.08,VMS 2,,Tanque,,1.50,1.68,1.50,2.16,4.31,1.72,5.55,6.47
14/03/2025 04:21 p. m.,Ordeño,06:28,15.69,2,,,,,0,,1.26,1.38,1.20,1.32,0,0,0,0,5.71,5.90,5.39,5.31,VMS 2,,Tanque,,1.68,2.04,1.56,2.16,4.34,1.73,4.95,4.67
14/03/2025 11:39 p. m.,Ordeño,06:53,12.16,3,,,,,0,,0.90,0.90,0.90,1.02,0,0,0,0,4.88,5.05,4.93,4.90,VMS 2,,Tanque,,1.32,1.20,1.26,1.62,2.99,1.23,3.89,4.05
15/03/2025 10:23 a. m.,Ordeño,07:32,18.24,1,,,,,0,,1.20,1.20,1.20,1.32,0,0,0,0,5.81,6.16,5.59,5.69,VMS 2,,Tanque,,1.56,1.74,1.56,1.92,4.99,2.24,5.50,5.51
16/03/2025 12:41 a. m.,Ordeño,09:22,18.26,1,,,,,1,,1.20,1.20,1.26,1.14,0,0,0,0,5.26,5.75,4.99,5.11,VMS 2,,Tanque,,1.62,1.62,1.80,1.98,5.17,2.33,5.44,5.32
16/03/2025 03:13 p. m.,Ordeño,08:08,21.12,2,,,,,1,,1.14,1.20,1.20,1.38,0,0,0,0,5.13,5.54,4.84,4.92,VMS 2,,Tanque,,1.56,1.62,1.56,2.28,5.71,2.27,5.64,7.50
17/03/2025 02:00 a. m.,Ordeño,07:36,14.64,1,,,,,0,,0.96,1.14,0.96,1.14,0,0,0,0,4.53,4.66,4.49,4.54,VMS 2,,Tanque,,1.32,1.62,1.32,1.92,3.59,1.59,4.71,4.75
17/03/2025 05:47 p. m.,Ordeño,07:54,20.31,2,,,,,1,,1.32,1.20,1.26,1.20,0,0,0,0,5.22,5.84,5.01,5.18,VMS 2,,Tanque,,1.74,1.80,1.62,1.80,5.27,2.93,5.83,6.28
18/03/2025 03:54 a. m.,Ordeño,07:51,15.44,1,,,,,0,,0.96,1.02,1.02,0.96,0,0,0,0,4.92,5.13,4.83,5.15,VMS 2,,Tanque,,1.44,1.56,1.38,1.44,3.89,1.71,5.17,4.67
18/03/2025 04:21 p. m.,Ordeño,07:31,18.11,2,,,,,0,,1.38,1.20,1.38,1.20,0,0,0,0,5.48,5.55,5.20,5.29,VMS 2,,Tanque,,1.80,1.74,1.74,1.86,5.02,2.07,5.34,5.68
19/03/2025 01:48 a. m.,Ordeño,07:26,15.19,1,,,,,0,,1.14,1.14,1.20,1.08,0,0,0,0,4.97,5.22,4.69,4.88,VMS 2,,Tanque,,1.50,1.68,1.50,1.86,3.77,1.50,4.93,4.99
19/03/2025 04:13 p. m.,Ordeño,08:08,20.04,2,,,,,0,,1.14,1.26,1.20,1.20,0,0,0,0,5.33,5.50,5.21,5.19,VMS 2,,Tanque,,1.80,1.68,1.56,2.16,5.75,2.39,5.38,6.52
20/03/2025 02:21 a. m.,Ordeño,07:05,17.34,1,,,,,0,,1.08,1.20,1.20,1.20,0,0,0,0,5.16,5.15,4.36,5.10,VMS 2,,Tanque,,1.56,1.62,1.50,1.80,4.81,2.07,5.15,5.31
21/03/2025 12:27 a. m.,Ordeño,08:32,19.24,1,,,,,1,DD,1.02,1.14,1.08,1.08,0,0,0,0,4.53,5.42,4.49,4.59,VMS 2,,Tanque,,1.56,1.50,1.38,1.74,5.19,2.92,5.42,5.71
21/03/2025 09:24 a. m.,Ordeño,07:11,14.07,2,,,,,0,,1.08,1.14,1.08,1.26,0,0,0,0,4.67,4.75,4.75,4.72,VMS 2,,Tanque,,1.50,1.74,1.38,1.80,3.38,1.43,4.50,4.76
21/03/2025 11:34 p. m.,Ordeño,08:08,18.34,3,,,,,0,,1.14,1.14,1.26,1.14,0,0,0,0,5.26,5.67,5.27,5.16,VMS 2,,Tanque,,1.62,1.56,1.56,1.62,4.97,2.55,5.55,5.27
22/03/2025 02:47 p. m.,Ordeño,08:24,19.75,1,,,,,1,,1.20,1.38,1.32,1.26,0,0,0,0,5.03,5.52,4.83,5.06,VMS 2,,Tanque,,1.80,1.74,1.80,1.92,6.02,2.42,5.58,5.73
23/03/2025 08:38 a. m.,Ordeño,07:46,19.78,1,,,,,1,,1.44,1.38,1.26,1.20,0,0,0,0,5.09,5.73,5.05,5.10,VMS 2,,Tanque,,1.86,1.80,1.68,1.86,5.48,2.92,5.65,5.73
23/03/2025 03:39 p. m.,Ordeño,05:25,10.01,2,,,,,0,,1.08,1.14,1.20,1.02,0,0,0,0,4.92,5.21,4.86,4.97,VMS 2,,Tanque,,1.74,1.98,1.50,1.50,2.51,1.03,3.30,3.17
24/03/2025 01:14 a. m.,Ordeño,08:57,16.13,1,,,,,0,,1.02,1.14,1.14,1.02,0,0,0,0,5.14,5.48,5.11,5.04,VMS 2,,Tanque,,1.50,1.62,1.50,1.56,4.05,1.60,5.37,5.11
25/03/2025 02:24 a. m.,Ordeño,07:06,19.14,1,,,,,0,,1.08,1.26,1.14,1.26,0,0,0,0,4.71,5.38,4.91,4.98,VMS 2,,Tanque,,1.56,1.80,1.50,1.74,5.37,2.24,5.73,5.80
25/03/2025 09:28 a. m.,Ordeño,06:56,7.76,2,,,DD,,0,DD,0.96,1.08,1.08,1.14,0,0,0,0,4.45,5.36,4.64,4.81,VMS 2,,Tanque,,1.38,1.56,1.38,1.80,1.96,0.83,2.53,2.44
25/03/2025 07:16 p. m.,Ordeño,05:24,13.74,3,,,,,0,,1.26,1.02,1.14,1.08,0,0,0,0,4.96,4.78,4.81,4.81,VMS 2,,Tanque,,1.80,1.50,1.56,1.86,3.50,1.34,4.68,4.22
26/03/2025 03:41 a. m.,Ordeño,07:16,16.13,1,,,,,0,,1.14,1.08,1.08,1.02,0,0,0,0,5.58,5.30,5.45,5.31,VMS 2,,Tanque,,1.62,1.92,1.44,1.74,4.01,1.71,5.48,4.93
26/03/2025 07:03 p. m.,Ordeño,06:45,19.61,2,,,,,0,,1.26,1.32,1.20,1.08,0,0,0,0,5.63,5.96,5.33,5.52,VMS 2,,Tanque,,1.80,1.80,1.56,1.56,6.16,2.67,5.54,5.24
27/03/2025 11:40 a. m.,Ordeño,08:32,19.45,1,,,,,1,,1.38,1.26,1.20,1.08,0,0,0,0,5.13,5.45,5.11,5.14,VMS 2,,Tanque,,1.86,1.68,1.62,1.68,5.50,2.35,5.70,5.90
28/03/2025 05:24 a. m.,Ordeño,08:10,20.17,1,,,,,1,,1.20,1.14,1.20,1.14,0,0,0,0,5.02,5.54,4.95,4.93,VMS 2,,Tanque,,1.74,1.68,1.56,1.86,5.60,2.79,5.62,6.16
29/03/2025 01:12 a. m.,Ordeño,09:05,19.84,1,,,,,1,DD,1.32,1.14,1.14,1.14,0,0,0,0,5.06,5.69,4.94,4.87,VMS 2,,Tanque,,1.80,1.50,1.50,2.04,4.98,3.10,5.92,5.84
29/03/2025 12:02 p. m.,Ordeño,08:12,16.49,2,,,,,0,,1.02,1.26,1.20,1.14,0,0,0,0,4.82,5.22,4.81,4.84,VMS 2,,Tanque,,1.38,2.10,1.62,1.74,4.10,1.60,5.42,5.37
29/03/2025 08:49 p. m.,Ordeño,07:24,15.18,3,,,,,0,,1.08,1.26,1.08,1.26,0,0,0,0,5.20,5.28,5.08,5.01,VMS 2,,Tanque,,1.62,1.68,1.44,1.80,3.98,1.46,5.13,4.61
30/03/2025 11:08 a. m.,Ordeño,07:10,18.12,1,,,,,0,,1.20,1.26,1.32,1.14,0,0,0,0,5.28,5.58,5.23,5.22,VMS 2,,Tanque,,1.56,1.68,1.68,1.74,5.19,2.14,5.58,5.21
31/03/2025 12:00 a. m.,Ordeño,08:25,19.51,1,,,,,0,,1.20,1.26,1.32,1.20,0,0,0,0,5.17,5.50,5.08,5.14,VMS 2,,Tanque,,1.62,1.86,1.62,2.16,5.56,2.52,5.59,5.84
31/03/2025 11:30 a. m.,Ordeño,07:04,17.67,2,,,,,0,,1.26,1.20,1.38,1.26,0,0,0,0,5.23,5.17,5.19,5.31,VMS 2,,Tanque,,1.62,1.92,1.74,1.92,5.10,1.83,4.74,6.00
31/03/2025 09:20 p. m.,Ordeño,07:12,13.91,3,,,,,0,,0.90,1.02,1.08,0.96,0,0,0,0,4.58,4.79,4.72,4.67,VMS 2,,Tanque,,1.26,1.62,1.50,1.62,3.53,1.48,4.68,4.22
01/04/2025 10:56 a. m.,Ordeño,07:06,18.64,1,,,,,0,,1.26,1.32,1.32,1.20,0,0,0,0,5.41,5.80,5.27,5.50,VMS 2,,Tanque,,2.04,1.86,1.68,1.80,5.37,2.56,5.47,5.24
