Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 08:39 a. m.,Ordeño,08:09,13.45,1,,,,,0,,0.90,0.90,,0.96,0,0,,0,4.92,4.81,,4.80,VMS 3,,Tanque,,1.32,1.38,,1.44,5.28,2.84,,5.33
01/03/2025 10:53 p. m.,Ordeño,11:03,18.03,2,,DI,,,0,,1.02,0.90,,0.96,0,0,,0,5.00,4.99,,4.66,VMS 3,,Tanque,,1.50,1.32,,1.38,5.25,4.61,,8.17
02/03/2025 12:26 p. m.,Ordeño,10:01,16.76,1,,,,,0,,0.84,0.84,,1.02,0,0,,0,4.85,4.76,,4.67,VMS 3,,Tanque,,1.20,1.38,,1.56,5.65,3.94,,7.17
02/03/2025 06:27 p. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
03/03/2025 03:42 a. m.,Ordeño,11:33,17.13,1,,DI,,,0,,0.96,0.84,,0.90,0,0,,0,4.79,4.82,,4.58,VMS 3,,Tanque,,1.32,1.20,,1.32,5.01,4.28,,7.84
03/03/2025 06:42 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
03/03/2025 04:32 p. m.,Ordeño,09:30,16.12,2,,DI,,,0,,1.02,0.90,,1.02,0,0,,0,4.90,4.96,,4.79,VMS 3,,Tanque,,1.80,1.38,,1.44,4.91,4.01,,7.20
04/03/2025 02:47 a. m.,Ordeño,08:20,12.19,1,,DI,,,0,,1.02,0.78,,0.96,0,0,,0,4.55,4.62,,4.42,VMS 3,,Tanque,,1.86,1.32,,1.50,3.85,2.91,,5.43
04/03/2025 05:31 p. m.,Ordeño,10:52,18.74,2,,DI,,,0,,1.02,0.84,,1.02,0,0,,0,4.96,4.88,,4.72,VMS 3,,Tanque,,1.68,1.20,,1.50,5.76,4.50,,8.48
05/03/2025 03:33 a. m.,Ordeño,08:38,13.50,1,,DI,,,0,,1.02,0.78,,0.90,0,0,,0,4.56,4.59,,4.49,VMS 3,,Tanque,,1.50,1.08,,1.44,4.34,3.30,,5.86
05/03/2025 04:56 p. m.,Ordeño,09:14,15.55,2,,DI,,,0,,1.02,0.90,,1.02,0,0,,0,4.58,4.71,,4.63,VMS 3,,Tanque,,1.56,1.38,,1.50,4.58,3.98,,6.99
06/03/2025 02:29 a. m.,Ordeño,08:06,12.18,1,,,,,0,,0.90,0.66,,0.96,0,0,,0,4.45,4.44,,4.41,VMS 3,,Tanque,,1.26,1.02,,1.32,3.99,2.97,,5.22
06/03/2025 10:11 a. m.,Ordeño,07:15,10.56,2,,DI,,,0,,0.84,0.66,,0.96,0,0,,0,4.50,4.57,,4.55,VMS 3,,Tanque,,1.50,1.02,,1.38,3.32,2.61,,4.63
