Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 09:00 a. m.,Ordeño,06:42,15.30,1,,,,,0,,1.20,0.90,1.14,1.08,0,0,0,0,4.93,4.68,4.76,4.87,VMS 3,,Tanque,,1.74,1.44,1.56,1.50,3.38,3.50,4.25,4.17
01/03/2025 11:06 p. m.,Ordeño,07:45,19.47,2,,,,,0,,1.26,1.08,1.08,1.20,0,0,0,0,4.86,4.65,4.65,4.79,VMS 3,,Tanque,,1.86,1.74,1.50,1.62,4.63,4.11,5.58,5.15
02/03/2025 10:37 a. m.,Ordeño,06:47,15.81,1,,,,,0,,1.32,0.90,1.14,1.14,0,0,0,0,4.81,4.56,4.69,4.64,VMS 3,,Tanque,,1.80,1.50,1.56,1.50,3.76,3.36,4.48,4.21
02/03/2025 05:01 p. m.,Ordeño,04:54,7.82,2,,,,,0,,1.14,0.84,0.96,1.02,0,0,0,0,4.62,4.56,4.64,4.67,VMS 3,,Tanque,,1.56,1.38,1.32,1.44,1.93,1.78,2.06,2.05
03/03/2025 12:59 a. m.,Ordeño,06:18,8.69,1,,,TD,TD,0,,1.14,0.90,1.02,0.00,0,0,0,0,4.59,4.44,4.51,0.00,VMS 3,,Tanque,,1.56,1.38,1.44,0.00,2.76,2.69,3.24,0.00
03/03/2025 10:44 a. m.,Ordeño,07:23,17.18,2,,,,,0,,1.26,0.90,1.08,1.26,0,0,0,0,4.92,4.63,4.78,5.03,VMS 3,,Tanque,,1.68,1.38,1.56,1.62,3.40,3.20,4.01,6.57
03/03/2025 11:16 p. m.,Ordeño,07:35,17.69,3,,,,,0,,1.38,1.02,1.08,1.14,0,0,0,0,4.82,4.62,4.69,4.77,VMS 3,,Tanque,,1.86,1.50,1.50,1.50,4.16,4.15,5.09,4.29
04/03/2025 10:41 a. m.,Ordeño,07:06,17.51,1,,,,,0,,1.32,0.96,1.08,1.08,0,0,0,0,4.88,4.75,4.86,4.93,VMS 3,,Tanque,,1.92,1.56,1.44,1.62,4.22,3.91,4.86,4.52
05/03/2025 01:16 a. m.,Ordeño,07:49,20.27,1,,,,,0,,1.32,0.96,1.08,1.14,0,0,0,0,4.82,4.59,4.74,4.68,VMS 3,,Tanque,,1.74,1.56,1.44,1.56,4.62,4.59,5.61,5.45
05/03/2025 11:56 a. m.,Ordeño,06:31,13.88,2,,,,,0,,1.20,0.90,1.02,1.14,0,0,0,0,4.71,4.52,4.56,4.56,VMS 3,,Tanque,,1.62,1.38,1.50,1.50,3.25,3.25,3.75,3.63
05/03/2025 11:41 p. m.,Ordeño,06:43,15.50,3,,,,,0,,1.26,0.96,1.02,1.08,0,0,0,0,4.57,4.48,4.62,4.29,VMS 3,,Tanque,,1.74,1.50,1.44,1.44,3.67,3.35,4.32,4.16
06/03/2025 10:38 a. m.,Ordeño,07:13,16.72,1,,,,,0,,1.32,0.90,1.20,1.14,0,0,0,0,4.90,4.69,4.88,4.69,VMS 3,,Tanque,,1.74,1.50,1.56,1.56,3.93,3.63,4.60,4.56
07/03/2025 12:25 a. m.,Ordeño,07:25,19.71,1,,,,,0,,1.26,1.02,1.08,1.08,0,0,0,0,4.78,4.52,4.61,4.25,VMS 3,,Tanque,,1.74,1.56,1.50,1.56,4.47,4.39,5.35,5.50
07/03/2025 02:07 p. m.,Ordeño,07:07,18.72,2,,,,,0,,1.26,0.96,1.14,1.08,0,0,0,0,4.82,4.66,4.69,4.72,VMS 3,,Tanque,,1.68,1.50,1.56,1.50,4.42,3.98,5.20,5.12
08/03/2025 02:10 a. m.,Ordeño,06:47,15.36,1,,,,,0,,1.14,1.02,1.02,1.08,0,0,0,0,4.62,4.40,4.42,4.38,VMS 3,,Tanque,,1.74,1.56,1.50,1.50,3.57,3.46,4.19,4.14
08/03/2025 02:21 p. m.,Ordeño,07:06,16.18,2,,,,,0,,1.14,1.02,1.02,1.02,0,0,0,0,4.75,4.39,4.88,4.47,VMS 3,,Tanque,,1.62,1.62,1.44,1.50,3.92,3.76,4.06,4.44
09/03/2025 03:20 a. m.,Ordeño,08:42,12.95,1,,,,,0,,1.20,0.60,1.14,1.02,0,0,0,0,4.54,4.47,4.67,4.27,VMS 3,,Tanque,,1.68,1.20,1.62,1.50,2.96,3.09,3.37,3.53
09/03/2025 04:51 p. m.,Ordeño,05:59,9.82,2,,,,,0,,1.20,0.78,1.02,1.02,1069,0,0,0,5.03,4.95,5.00,5.18,VMS 3,,Tanque,,1.80,1.44,1.38,1.44,2.39,2.29,2.67,2.47
10/03/2025 11:33 a. m.,Ordeño,06:36,14.59,1,,,,,1,,1.26,0.96,1.02,1.08,0,0,0,0,4.60,4.47,4.50,4.58,VMS 3,,Tanque,,1.68,1.56,1.56,1.44,3.41,3.27,3.97,3.94
10/03/2025 09:33 p. m.,Ordeño,06:07,11.90,2,,,,,0,,1.20,0.84,0.90,1.08,0,0,0,0,4.70,4.63,4.61,4.55,VMS 3,,Tanque,,1.68,1.44,1.26,1.50,2.65,2.83,3.19,3.23
11/03/2025 03:54 a. m.,Ordeño,05:41,9.05,1,,,,,0,,1.26,0.84,0.84,1.08,0,0,0,0,4.52,4.43,4.46,4.55,VMS 3,,Tanque,,2.04,1.26,1.20,1.44,2.30,1.98,2.39,2.38
12/03/2025 12:35 a. m.,Ordeño,11:45,23.29,1,,,,,0,,1.44,0.96,0.84,1.02,0,0,0,0,4.73,4.45,4.49,4.16,VMS 3,,Tanque,,1.98,1.44,1.32,1.50,5.06,5.33,6.58,6.32
12/03/2025 11:12 a. m.,Ordeño,06:28,12.43,2,,,,,0,,1.26,0.84,0.96,1.08,0,0,0,0,4.57,4.50,4.42,4.60,VMS 3,,Tanque,,1.68,1.26,1.38,1.50,2.86,2.98,3.44,3.15
12/03/2025 10:54 p. m.,Ordeño,06:50,13.49,3,,,,,0,,1.26,0.78,1.02,1.02,0,0,0,0,4.51,4.46,4.45,4.47,VMS 3,,Tanque,,1.74,1.32,1.38,1.50,3.15,3.01,3.71,3.62
13/03/2025 02:09 p. m.,Ordeño,07:19,16.25,1,,,,,0,,1.20,0.90,1.08,1.14,0,0,0,0,4.75,4.58,4.63,4.67,VMS 3,,Tanque,,1.56,1.38,1.44,1.62,3.75,3.70,4.39,4.41
13/03/2025 09:28 p. m.,Ordeño,04:33,6.58,2,,,,,0,,1.02,0.72,0.96,1.08,750,0,0,0,4.31,4.25,4.15,4.17,VMS 3,,Tanque,,1.62,1.38,1.32,1.44,1.54,1.49,1.75,1.80
14/03/2025 10:38 a. m.,Ordeño,07:28,17.11,1,,,,,0,,1.26,0.90,1.08,1.14,0,0,0,0,4.88,4.62,4.62,4.70,VMS 3,,Tanque,,1.80,1.38,1.56,1.62,3.90,3.90,4.63,4.68
14/03/2025 10:48 p. m.,Ordeño,07:02,15.45,2,,,,,0,,1.20,0.84,0.96,1.02,0,0,0,0,4.55,4.49,4.41,4.44,VMS 3,,Tanque,,1.68,1.44,1.44,1.44,3.58,3.54,4.20,4.13
15/03/2025 08:36 a. m.,Ordeño,06:07,12.11,1,,,,,0,,1.26,0.84,1.02,1.08,0,0,0,0,4.87,4.61,4.63,4.65,VMS 3,,Tanque,,1.80,1.44,1.44,1.50,2.82,2.73,3.29,3.27
15/03/2025 04:48 p. m.,Ordeño,05:27,9.28,2,,,,,0,,1.26,0.78,0.96,1.02,0,0,0,0,4.53,4.35,4.44,4.36,VMS 3,,Tanque,,1.68,1.26,1.32,1.50,2.20,2.14,2.41,2.53
16/03/2025 01:51 a. m.,Ordeño,05:41,11.88,1,,DI,,,0,,1.38,0.84,1.02,1.02,0,0,0,0,4.73,4.53,4.65,4.59,VMS 3,,Tanque,,2.10,1.32,1.50,1.56,2.88,2.57,3.20,3.23
16/03/2025 11:53 a. m.,Ordeño,06:17,13.61,2,,,,,0,,1.44,0.84,1.02,1.08,0,0,0,0,4.71,4.60,4.57,4.61,VMS 3,,Tanque,,2.16,1.26,1.56,1.44,3.17,3.13,3.62,3.69
16/03/2025 07:28 p. m.,Ordeño,05:01,8.90,3,,,,,0,,1.26,0.84,1.02,1.08,0,0,0,0,4.24,4.26,4.25,4.13,VMS 3,,Tanque,,1.68,1.20,1.38,1.50,2.12,2.07,2.31,2.40
17/03/2025 02:50 a. m.,Ordeño,05:21,10.10,1,,,,,0,,1.20,0.90,1.02,1.14,0,0,0,0,4.60,4.47,4.51,4.45,VMS 3,,Tanque,,1.74,1.32,1.68,1.56,2.36,2.28,2.71,2.75
17/03/2025 02:15 p. m.,Ordeño,06:47,16.04,2,,DI,,,0,,1.56,0.90,1.14,1.02,0,0,0,0,4.72,4.60,4.70,4.73,VMS 3,,Tanque,,2.22,1.44,1.50,1.56,3.78,3.52,4.33,4.41
