Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
14/03/2025 09:24 a. m.,Ordeño,07:34,12.98,1,,,,,0,,1.44,1.14,0.96,1.38,0,0,0,0,4.97,4.83,5.27,0.00,VMS 1,,Tanque,,1.92,1.62,1.50,1.80,3.98,3.30,1.44,4.26
14/03/2025 05:19 p. m.,Ordeño,07:03,8.87,2,,,,,0,,1.38,1.02,0.78,1.32,0,0,0,0,4.92,4.64,4.98,0.00,VMS 1,,Tanque,,1.74,1.32,1.26,1.74,2.69,2.27,0.82,3.09
15/03/2025 02:59 a. m.,Ordeño,09:58,10.81,1,,,,,0,,1.32,1.14,0.90,1.38,0,0,0,0,4.78,4.61,4.88,0.00,VMS 1,,Tanque,,1.80,1.56,1.38,1.86,3.46,2.48,0.94,3.93
15/03/2025 10:31 a. m.,Ordeño,07:22,7.99,2,,,,TI,0,,1.26,1.14,0.00,1.32,0,0,0,0,4.80,4.61,0.00,0.00,VMS 1,,Tanque,,1.74,1.50,0.00,1.74,2.68,2.31,0.00,3.00
15/03/2025 05:38 p. m.,Ordeño,07:24,8.89,3,,TI,,,0,,1.26,1.08,0.96,1.26,0,0,0,0,4.95,4.82,0.00,4.97,VMS 1,,Tanque,,1.68,1.44,1.38,1.68,2.51,2.09,1.47,2.82
16/03/2025 06:23 a. m.,Ordeño,07:57,14.54,1,,,,,0,,1.38,1.14,0.90,1.26,0,0,0,0,4.93,4.69,5.13,0.00,VMS 1,,Tanque,,1.86,1.50,1.20,1.92,4.20,3.72,1.28,5.34
16/03/2025 06:23 a. m.,Echada sin ordeñar,07:57,,,,,,,,,,,,,,,,,,,,,VMS 1,,,,,,,,,,,
16/03/2025 03:59 p. m.,Ordeño,07:12,10.04,2,,,TI,TI,0,,1.32,1.32,0.00,1.38,0,0,0,0,4.73,4.62,0.00,0.00,VMS 1,,Tanque,,1.86,1.68,0.00,1.86,3.47,2.84,0.00,3.73
16/03/2025 10:09 p. m.,Ordeño,07:10,7.92,3,,,,,0,TI,1.38,1.02,1.02,1.32,0,0,0,0,4.47,4.35,5.25,0.00,VMS 1,,Tanque,,1.74,1.38,1.44,1.68,2.14,1.83,1.58,2.37
17/03/2025 07:32 a. m.,Ordeño,05:38,10.74,1,,,,,0,,1.32,1.38,0.90,1.44,0,0,0,0,4.66,4.61,4.60,0.00,VMS 1,,Tanque,,1.74,1.74,1.44,1.92,3.39,2.62,0.93,3.80
17/03/2025 04:43 p. m.,Ordeño,07:05,9.25,2,,,,,0,,1.32,1.26,0.78,1.38,0,0,0,0,4.59,4.56,4.99,0.00,VMS 1,,Tanque,,1.68,1.68,1.14,1.80,2.89,2.35,0.90,3.11
18/03/2025 12:04 a. m.,Ordeño,11:44,7.44,1,,,,,0,,1.14,1.20,0.72,1.20,0,0,0,0,4.47,4.44,4.36,0.00,VMS 1,,Tanque,,1.56,1.56,1.14,1.98,2.24,1.94,0.72,2.54
18/03/2025 12:17 p. m.,Ordeño,11:47,12.08,2,,,TI,TI,0,,1.32,1.38,0.00,1.56,0,0,0,0,4.88,4.64,0.00,0.00,VMS 1,,Tanque,,1.62,1.74,0.00,2.16,3.72,3.61,0.00,4.75
18/03/2025 04:35 p. m.,Ordeño,10:15,6.11,3,,DI,,,0,TD,1.20,1.08,1.32,0.84,0,0,0,0,4.27,4.45,0.00,5.34,VMS 1,,Tanque,,1.62,1.56,2.04,1.32,1.81,1.20,1.26,1.84
19/03/2025 06:29 a. m.,Ordeño,11:36,15.01,1,,,,,0,,1.44,1.32,1.08,1.44,0,0,0,0,4.69,4.64,4.67,0.00,VMS 1,,Tanque,,1.74,1.74,1.68,1.98,4.34,3.62,1.87,5.18
19/03/2025 02:45 p. m.,Ordeño,06:55,8.84,2,,,,,0,,1.32,1.32,0.90,1.44,0,0,0,0,4.42,4.44,4.68,0.00,VMS 1,,Tanque,,1.68,1.74,1.32,1.80,2.76,2.28,0.78,3.02
19/03/2025 02:52 p. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 1,,,,,,,,,,,
19/03/2025 10:40 p. m.,Ordeño,07:02,7.62,3,,,,TI,0,,1.32,1.02,0.00,1.20,0,0,0,0,4.50,4.42,0.00,0.00,VMS 1,,Tanque,,1.74,1.56,0.00,1.62,2.45,2.20,0.00,2.97
20/03/2025 11:07 a. m.,Ordeño,09:04,13.35,1,,,,,0,,1.50,1.14,1.14,1.50,0,0,0,0,4.75,4.55,5.24,0.00,VMS 1,,Tanque,,1.80,1.62,1.56,1.92,4.05,3.15,1.92,4.23
20/03/2025 09:17 p. m.,Ordeño,07:25,9.27,2,,,TI,TI,0,,1.32,1.14,0.00,1.38,0,0,0,0,4.40,4.28,0.00,0.00,VMS 1,,Tanque,,1.74,1.50,0.00,1.80,3.09,2.70,0.00,3.48
21/03/2025 09:30 a. m.,Ordeño,09:56,12.29,1,,,TI,,0,,1.56,1.38,0.90,1.50,0,0,0,0,4.59,4.49,4.09,0.00,VMS 1,,Tanque,,2.10,2.04,1.86,1.92,3.97,3.42,0.35,4.55
21/03/2025 06:51 p. m.,Ordeño,05:21,10.46,2,,,,,0,TI,1.20,1.14,1.26,1.32,0,0,0,0,4.51,4.50,5.27,0.00,VMS 1,,Tanque,,1.62,1.62,1.68,1.74,2.84,2.38,2.09,3.15
22/03/2025 08:15 a. m.,Ordeño,11:25,12.73,1,,,TI,TI,0,,1.38,1.26,0.00,1.50,0,0,0,0,5.04,4.76,0.00,0.00,VMS 1,,Tanque,,2.40,1.62,0.00,2.10,4.02,3.75,0.00,4.96
22/03/2025 07:58 p. m.,Ordeño,07:19,14.00,2,,,,,0,,1.38,1.26,1.14,1.38,0,0,0,0,4.76,4.76,5.35,0.00,VMS 1,,Tanque,,1.80,1.68,1.56,1.86,4.21,3.33,1.91,4.55
23/03/2025 07:46 a. m.,Ordeño,11:24,13.18,1,,,,,0,,1.26,1.44,1.02,1.38,0,0,0,0,4.73,4.61,4.79,0.00,VMS 1,,Tanque,,1.74,1.92,1.50,1.86,3.98,3.37,1.14,4.69
23/03/2025 07:58 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 1,,,,,,,,,,,
23/03/2025 07:55 p. m.,Ordeño,09:23,12.94,2,,,,,0,,1.26,1.20,0.96,1.32,0,0,0,0,4.74,4.77,4.97,0.00,VMS 1,,Tanque,,1.68,1.50,1.44,1.80,3.88,3.27,1.21,4.58
24/03/2025 07:22 a. m.,Ordeño,07:34,12.66,1,,,,,0,,1.32,1.20,0.96,1.44,0,0,0,0,4.61,4.61,4.99,0.00,VMS 1,,Tanque,,1.62,1.74,1.38,1.92,3.86,3.27,1.23,4.30
24/03/2025 11:55 p. m.,Ordeño,09:43,13.75,1,,,TI,TI,0,,1.38,1.32,0.00,1.56,0,0,0,0,4.68,4.66,0.00,0.00,VMS 1,,Tanque,,2.22,1.68,0.00,2.10,4.41,3.72,0.00,5.62
25/03/2025 06:26 a. m.,Ordeño,09:10,8.32,2,,,,,0,TI,1.20,1.20,1.02,1.38,0,0,0,0,4.48,4.38,5.47,0.00,VMS 1,,Tanque,,1.56,1.50,1.38,1.74,2.16,1.83,2.07,2.26
25/03/2025 03:14 p. m.,Ordeño,07:23,9.06,3,,,,,0,,1.26,1.20,0.90,1.38,0,0,0,0,4.68,4.71,4.68,0.00,VMS 1,,Tanque,,1.62,1.56,1.56,1.80,2.83,2.31,0.91,3.01
26/03/2025 02:44 a. m.,Ordeño,08:22,12.56,1,,,,,0,,1.38,1.32,0.96,1.56,0,0,0,0,5.02,4.91,5.14,0.00,VMS 1,,Tanque,,1.74,1.68,1.44,2.04,3.83,3.22,1.16,4.35
26/03/2025 11:30 a. m.,Ordeño,08:26,8.91,2,,,,TI,0,,1.32,1.26,0.00,1.50,0,0,0,0,4.69,4.70,0.00,0.00,VMS 1,,Tanque,,1.62,1.68,0.00,1.98,3.10,2.56,0.00,3.25
26/03/2025 06:41 p. m.,Ordeño,07:32,8.37,3,,,,,0,TI,1.26,1.14,0.96,1.32,0,0,0,0,4.93,4.78,5.70,0.00,VMS 1,,Tanque,,1.62,1.50,1.38,1.74,2.31,2.00,1.57,2.49
26/03/2025 06:49 p. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 1,,,,,,,,,,,
27/03/2025 08:54 a. m.,Ordeño,08:33,13.69,1,,,TI,TI,0,,1.44,1.44,0.00,1.50,0,0,0,0,5.05,4.89,0.00,0.00,VMS 1,,Tanque,,1.86,1.92,0.00,1.92,4.89,3.76,0.00,5.04
28/03/2025 03:51 a. m.,Ordeño,11:03,16.63,1,,,,,1,,1.32,1.38,1.08,1.38,0,0,0,0,4.77,4.82,5.49,0.00,VMS 1,,Tanque,,1.98,1.80,1.50,2.04,4.86,4.35,2.03,5.39
28/03/2025 12:36 p. m.,Ordeño,06:58,8.92,2,,,,,0,,1.26,1.14,0.72,1.38,0,0,0,0,4.51,4.44,4.52,0.00,VMS 1,,Tanque,,1.68,1.50,1.14,1.86,2.79,2.32,0.75,3.06
29/03/2025 01:43 a. m.,Ordeño,08:34,13.81,1,,,,,0,,1.26,1.20,0.90,1.38,0,0,0,0,4.79,4.76,4.98,0.00,VMS 1,,Tanque,,1.98,1.62,1.38,2.10,3.92,3.74,1.11,5.04
29/03/2025 11:48 a. m.,Ordeño,09:32,9.70,2,,,,TI,0,,1.26,1.14,0.00,1.50,0,0,0,0,4.66,4.57,0.00,0.00,VMS 1,,Tanque,,1.68,1.50,0.00,2.04,3.17,2.81,0.00,3.72
29/03/2025 07:13 p. m.,Ordeño,06:16,8.37,3,,,,,0,TI,1.20,1.02,0.96,1.32,0,0,0,0,4.65,4.58,5.45,0.00,VMS 1,,Tanque,,1.50,1.38,1.44,1.74,2.29,1.93,1.52,2.63
30/03/2025 07:37 a. m.,Ordeño,08:09,13.19,1,,,,,0,,1.38,1.20,0.96,1.44,0,0,0,0,4.72,4.71,4.98,0.00,VMS 1,,Tanque,,1.80,1.56,1.38,2.10,3.91,3.36,1.29,4.63
30/03/2025 04:47 p. m.,Ordeño,07:29,7.44,2,,,,TI,0,,1.20,1.14,0.00,1.38,0,0,0,0,4.65,4.50,0.00,0.00,VMS 1,,Tanque,,1.62,1.56,0.00,1.80,2.52,2.12,0.00,2.80
31/03/2025 01:27 a. m.,Ordeño,07:37,9.51,1,,,,,0,,1.26,1.08,0.90,1.38,0,0,0,0,4.86,4.69,5.12,0.00,VMS 1,,Tanque,,1.62,1.38,1.32,2.10,2.73,2.26,1.25,3.27
