Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 01:35 p. m.,Ordeño,08:22,19.50,1,,,,,0,,1.38,1.14,1.02,1.38,0,0,0,0,4.90,4.96,4.84,4.80,VMS 3,,Tanque,,1.92,1.62,1.62,1.80,4.39,3.80,5.70,5.61
02/03/2025 01:16 a. m.,Ordeño,06:46,14.29,1,,,,,0,,1.32,1.08,0.96,1.26,366,0,0,0,4.59,4.65,4.54,4.51,VMS 3,,Tanque,,1.74,1.62,1.38,1.68,3.17,2.74,4.10,4.28
02/03/2025 11:04 a. m.,Ordeño,06:26,12.82,2,,,,,0,,1.32,1.02,0.96,1.20,0,0,0,0,4.74,4.63,4.61,4.64,VMS 3,,Tanque,,1.86,1.38,1.38,1.62,2.88,2.50,3.66,3.78
02/03/2025 06:45 p. m.,Ordeño,05:27,9.73,3,,,,,0,,1.38,1.08,1.02,1.20,0,0,0,0,4.84,4.84,4.75,4.80,VMS 3,,Tanque,,1.80,1.62,1.38,1.56,2.32,1.79,2.81,2.81
03/03/2025 05:02 a. m.,Ordeño,06:54,15.16,1,,"DI,TI",,,0,,1.50,1.02,1.02,1.26,0,0,0,0,4.72,4.75,4.70,4.71,VMS 3,,Tanque,,2.22,1.38,1.44,1.62,3.39,2.89,4.51,4.37
03/03/2025 11:48 p. m.,Ordeño,09:20,23.37,2,,,,,0,,1.50,1.20,1.08,1.32,0,0,0,0,4.89,5.02,4.82,4.96,VMS 3,,Tanque,,1.98,1.68,1.50,1.68,4.68,4.53,7.18,6.98
04/03/2025 05:55 p. m.,Ordeño,09:10,22.56,1,,,,,1,,1.50,1.14,1.14,1.38,0,0,0,0,4.76,4.82,4.67,4.65,VMS 3,,Tanque,,2.10,1.50,1.56,1.86,4.86,4.50,6.52,6.68
05/03/2025 05:08 a. m.,Ordeño,06:08,12.48,1,,,,,0,,1.38,0.96,1.02,1.26,0,0,0,0,4.50,4.38,4.44,4.44,VMS 3,,Tanque,,1.86,1.44,1.44,1.68,2.74,2.36,3.74,3.64
05/03/2025 02:41 p. m.,Ordeño,05:14,9.32,2,,,,,0,,1.38,1.08,0.96,1.26,0,0,0,0,4.71,4.58,4.50,4.57,VMS 3,,Tanque,,1.80,1.50,1.38,1.62,2.13,1.90,2.57,2.72
06/03/2025 02:22 a. m.,Ordeño,06:17,12.18,1,,,,,0,,1.38,1.08,0.96,1.26,0,0,0,0,4.58,4.57,4.53,4.68,VMS 3,,Tanque,,1.80,1.50,1.44,1.62,2.82,2.32,3.52,3.52
06/03/2025 10:52 a. m.,Ordeño,06:15,12.90,2,,,,,0,,1.38,1.14,0.96,1.26,0,0,0,0,5.17,4.96,5.08,5.09,VMS 3,,Tanque,,2.04,1.56,1.32,1.62,2.99,2.41,3.67,3.83
