Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 10:06 a. m.,Ordeño,10:47,29.65,1,,,,,0,,1.68,1.56,1.44,1.32,0,0,0,0,5.25,5.28,5.36,5.21,VMS 3,,Tanque,,2.10,2.04,1.80,1.68,7.54,6.76,6.54,8.81
02/03/2025 01:43 a. m.,Ordeño,11:29,25.06,1,,,TI,TI,1,,1.80,1.56,0.00,1.50,0,0,0,0,5.61,5.73,0.00,5.32,VMS 3,,Tanque,,2.46,2.22,0.00,1.92,8.51,6.88,0.00,9.67
02/03/2025 09:27 a. m.,Ordeño,08:44,18.46,2,,,TI,TI,0,,1.80,1.56,0.00,1.50,0,0,0,0,5.11,5.11,0.00,4.85,VMS 3,,Tanque,,2.16,1.92,0.00,1.98,6.63,4.96,0.00,6.87
02/03/2025 07:07 p. m.,Ordeño,08:40,27.85,3,,,,,0,,1.74,1.50,1.68,1.44,0,0,0,0,5.10,5.18,5.48,5.15,VMS 3,,Tanque,,2.28,1.98,2.40,1.74,7.21,5.55,7.60,7.49
03/03/2025 03:09 a. m.,Ordeño,10:14,19.14,1,,,,,0,,1.74,1.56,1.26,1.56,0,0,0,0,4.86,4.95,4.89,4.87,VMS 3,,Tanque,,2.28,1.92,1.86,1.98,5.97,4.43,2.49,6.25
03/03/2025 11:18 a. m.,Ordeño,07:54,16.76,2,,TD,TI,TI,0,,1.68,1.50,0.00,1.38,0,0,0,0,4.85,4.98,0.00,4.90,VMS 3,,Tanque,,2.22,1.86,0.00,1.86,5.83,4.57,0.00,6.36
03/03/2025 10:34 p. m.,Ordeño,08:17,29.09,3,,,,,0,,1.62,1.38,1.50,1.50,0,0,0,0,5.23,5.02,5.35,5.11,VMS 3,,Tanque,,2.04,1.86,1.86,1.86,7.26,6.60,6.42,8.81
04/03/2025 11:44 a. m.,Ordeño,12:54,14.46,1,,,"TI,TD","TI,TD",0,DI,1.68,1.56,0.00,0.30,0,0,0,0,5.48,5.03,0.00,4.22,VMS 3,,Tanque,,2.10,2.04,0.00,0.96,8.36,5.97,0.00,0.13
04/03/2025 05:00 p. m.,Ordeño,08:50,24.17,2,,,,,0,,1.50,1.44,1.62,1.62,0,0,0,0,5.16,5.01,5.54,5.32,VMS 3,,Tanque,,1.86,1.92,2.04,1.98,5.27,3.86,6.47,8.57
05/03/2025 06:39 a. m.,Ordeño,09:10,27.39,1,,,,,1,,1.68,1.50,1.56,1.68,0,0,0,0,5.30,4.91,5.10,4.98,VMS 3,,Tanque,,2.22,1.92,2.10,2.10,7.23,5.55,5.00,9.61
05/03/2025 03:42 p. m.,Ordeño,07:42,21.76,2,,,,,0,,1.80,1.68,1.62,1.50,0,0,0,0,5.38,5.50,5.42,5.21,VMS 2,,Tanque,,2.34,2.16,1.98,2.22,6.17,5.41,3.43,6.75
05/03/2025 11:18 p. m.,Ordeño,07:59,16.05,3,,,TI,TI,0,,1.68,1.56,0.00,1.56,0,0,0,0,5.26,5.18,0.00,4.99,VMS 2,,Tanque,,2.16,2.04,0.00,2.22,5.35,4.55,0.00,6.15
06/03/2025 03:37 a. m.,Ordeño,07:28,10.79,1,,,,TD,0,,1.56,1.38,1.32,0.00,0,0,0,0,5.39,5.36,5.22,0.00,VMS 2,,Tanque,,1.98,1.74,1.80,0.00,3.59,2.81,4.39,0.00
06/03/2025 12:25 p. m.,Ordeño,07:50,26.91,2,,,,,0,,1.74,1.56,1.62,1.74,0,0,0,0,5.51,5.36,5.42,5.41,VMS 2,,Tanque,,2.16,1.98,2.34,2.46,7.31,6.21,4.07,9.32
06/03/2025 06:30 p. m.,Ordeño,06:10,15.37,3,,,,,0,,1.62,1.44,1.44,1.32,0,0,0,0,5.36,5.37,5.14,5.22,VMS 2,,Tanque,,2.04,1.80,1.86,1.80,4.60,3.70,2.54,4.53
07/03/2025 02:24 a. m.,Ordeño,09:27,17.32,1,,,TI,TI,0,,1.62,1.44,0.00,1.44,0,0,0,0,5.59,5.56,0.00,5.29,VMS 2,,Tanque,,2.04,1.80,0.00,2.34,5.53,5.05,0.00,6.74
07/03/2025 10:07 a. m.,Ordeño,06:39,24.15,2,,,,,0,,1.80,1.56,1.74,1.56,0,0,0,0,5.44,5.42,5.74,5.31,VMS 2,,Tanque,,2.22,2.10,2.10,2.16,6.19,5.41,5.98,6.57
07/03/2025 06:31 p. m.,Ordeño,07:09,22.71,3,,,,,0,,1.86,1.62,1.68,1.44,0,0,0,0,5.37,5.37,5.18,5.20,VMS 2,,Tanque,,2.34,2.16,2.04,2.04,6.58,5.57,3.58,6.98
07/03/2025 11:09 p. m.,Ordeño,05:49,11.87,4,,,,,0,,1.62,1.38,1.32,1.14,0,0,0,0,5.11,5.17,5.05,4.90,VMS 2,,Tanque,,2.16,1.80,1.68,1.56,3.67,2.91,1.95,3.34
08/03/2025 05:18 a. m.,Ordeño,07:35,16.21,1,,,,,0,,1.62,1.50,1.38,1.26,0,0,0,0,5.11,5.03,5.04,4.45,VMS 2,,Tanque,,2.10,1.86,1.68,1.80,4.75,3.92,2.70,4.84
08/03/2025 11:08 a. m.,Ordeño,06:39,15.35,2,,,,,0,,1.62,1.38,1.44,1.56,0,0,0,0,5.31,5.30,5.18,5.25,VMS 2,,Tanque,,2.04,1.80,1.80,2.22,4.41,3.67,2.45,4.82
08/03/2025 07:15 p. m.,Ordeño,07:05,22.06,3,,,,,0,,1.74,1.50,1.56,1.50,0,0,0,0,5.39,5.23,5.13,5.22,VMS 2,,Tanque,,2.22,1.92,1.98,2.28,6.39,5.17,3.52,6.98
09/03/2025 06:53 a. m.,Ordeño,07:35,25.93,1,,,,,0,,1.80,1.50,1.68,1.62,0,0,371,0,5.53,5.23,5.34,5.14,VMS 2,,Tanque,,2.28,1.98,2.04,2.46,7.16,5.88,4.70,8.19
09/03/2025 01:29 p. m.,Ordeño,06:46,15.75,2,,,,,0,,1.86,1.56,1.44,1.32,0,0,0,0,5.14,5.23,4.92,5.08,VMS 2,,Tanque,,2.46,2.22,1.92,2.22,4.79,3.90,2.77,4.29
10/03/2025 12:23 a. m.,Ordeño,07:54,23.34,1,,,,,0,,1.86,1.38,1.56,1.38,0,0,0,0,5.42,5.39,5.18,5.12,VMS 2,,Tanque,,2.34,1.74,1.98,2.04,6.58,5.74,3.97,7.05
10/03/2025 09:35 a. m.,Ordeño,08:14,25.43,2,,,,,0,,1.74,1.56,1.50,1.50,0,0,0,0,5.28,5.26,5.05,5.12,VMS 2,,Tanque,,2.34,1.98,1.86,2.22,7.31,6.15,3.94,8.03
10/03/2025 05:53 p. m.,Ordeño,07:05,19.68,3,,,,,0,,1.68,1.50,1.44,1.44,0,0,0,0,5.20,5.31,5.00,5.13,VMS 2,,Tanque,,2.16,1.92,1.80,2.10,5.59,4.68,3.25,6.16
11/03/2025 05:29 a. m.,Ordeño,08:37,25.55,1,,,,,0,,1.44,1.50,1.50,1.50,0,0,0,0,5.20,5.23,4.94,4.87,VMS 2,,Tanque,,1.74,1.92,1.86,2.46,6.98,5.98,4.18,8.41
