Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
06/06/2025 07:09 p. m.,Ordeño,11:27,6.99,1,,,,,0,,0.72,0.72,0.60,0.60,2058,888,1183,1169,4.59,5.15,4.88,4.55,VMS 3,,Divert 3,,1.38,1.56,0.96,1.26,1.66,1.26,2.09,1.98
07/06/2025 06:26 a. m.,Ordeño,05:35,4.57,1,,,,,0,,0.78,0.60,0.60,0.60,562,385,568,672,5.36,5.59,5.35,5.20,VMS 3,,Divert 3,,1.26,1.02,0.96,0.96,1.16,0.85,1.35,1.21
08/06/2025 02:05 a. m.,Ordeño,10:18,13.30,1,,,,,0,,0.90,0.96,0.72,0.78,368,0,362,547,5.56,5.70,5.45,5.60,VMS 3,,Divert 3,,1.32,1.38,1.08,1.20,3.21,2.74,3.77,3.58
10/06/2025 08:21 a. m.,Ordeño,11:10,9.99,1,,,,,1,,0.96,0.90,0.72,0.84,4875,791,1172,579,4.60,5.14,5.05,5.52,VMS 3,,Divert 3,,1.38,1.26,1.14,1.32,2.22,1.97,2.73,3.07
12/06/2025 01:56 a. m.,Ordeño,08:53,11.26,1,,,,,0,,1.02,1.02,0.78,0.90,558,0,0,0,5.40,5.60,5.54,5.10,VMS 3,,Tanque,,1.44,1.50,1.50,1.26,2.63,2.17,3.38,3.08
12/06/2025 10:49 p. m.,Ordeño,08:26,11.34,2,,,,,0,"DI,DD,TI",1.08,0.96,0.78,0.66,0,0,0,0,4.80,5.53,5.39,3.51,VMS 3,,Tanque,,1.56,1.44,1.56,1.26,2.67,2.38,3.09,3.20
15/06/2025 01:20 a. m.,Ordeño,10:22,9.65,1,,TI,,,0,,0.78,1.02,0.90,0.78,0,0,463,0,5.73,5.36,5.51,4.90,VMS 3,,Tanque,,1.86,1.50,1.38,1.32,2.83,2.25,1.56,3.01
16/06/2025 07:44 a. m.,Ordeño,08:51,12.66,1,,,,,0,,0.96,0.96,0.78,0.78,0,0,0,0,5.60,5.77,5.80,5.94,VMS 3,,Tanque,,1.32,1.56,1.26,1.14,2.78,2.78,3.68,3.42
17/06/2025 11:30 a. m.,Ordeño,09:18,15.38,1,,,,,0,,1.02,1.02,0.90,0.84,0,0,0,0,5.87,5.69,5.53,5.22,VMS 3,,Tanque,,1.32,1.38,1.26,1.20,3.32,3.20,4.12,4.74
19/06/2025 07:29 a. m.,Ordeño,10:44,10.43,1,,,,TD,1,"DI,DD",1.02,0.96,0.84,0.00,0,0,0,0,7.77,7.03,6.00,0.00,VMS 3,,Tanque,,1.38,1.38,1.26,0.00,3.57,3.25,3.61,0.00
20/06/2025 11:24 a. m.,Ordeño,14:05,4.67,1,,TI,"TI,TD",TD,0,DI,0.90,0.72,0.72,0.00,0,0,0,0,5.79,5.22,4.56,0.00,VMS 3,,Tanque,,1.26,1.32,1.44,0.00,1.79,2.58,0.30,0.00
21/06/2025 09:42 a. m.,Ordeño,08:47,10.52,1,,,TD,TD,1,,0.90,1.02,0.84,0.00,0,0,300,0,5.57,6.10,5.23,0.00,VMS 3,,Tanque,,1.44,1.44,1.44,0.00,3.00,3.26,4.26,0.00
22/06/2025 04:28 a. m.,Ordeño,14:32,4.36,1,,,"DD,TD","DD,TD",0,,0.84,0.00,0.72,0.00,0,0,0,0,5.16,0.00,4.82,0.00,VMS 3,,Tanque,,1.26,0.00,1.08,0.00,2.49,0.00,1.87,0.00
22/06/2025 07:58 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
23/06/2025 07:51 a. m.,Ordeño,09:21,11.39,1,,,,,0,DD,0.90,0.96,0.84,0.72,397,0,0,0,4.72,5.59,4.56,4.96,VMS 3,,Tanque,,1.32,1.44,1.32,1.08,2.99,2.36,3.76,2.28
24/06/2025 12:51 a. m.,Ordeño,11:50,4.23,1,,,"TI,TD","TI,TD",0,,1.02,0.78,0.00,0.00,304,0,0,0,4.84,5.38,0.00,0.00,VMS 3,,Tanque,,1.44,1.20,0.00,0.00,2.44,1.79,0.00,0.00
24/06/2025 06:14 a. m.,Ordeño,12:46,6.59,2,,,,,0,TD,0.78,0.78,0.84,0.60,0,0,0,0,4.72,5.30,4.94,5.95,VMS 3,,Tanque,,1.20,1.32,1.26,1.02,0.92,0.79,3.63,1.25
24/06/2025 05:22 p. m.,Ordeño,10:17,6.32,3,,TD,,,0,,0.96,0.90,0.66,0.30,0,0,0,0,4.92,5.44,4.70,1.27,VMS 3,,Tanque,,1.38,1.26,1.14,0.48,1.85,1.71,2.30,0.46
25/06/2025 04:09 a. m.,Ordeño,13:51,2.26,1,,,"DD,TI,TD","DD,TD",0,,0.78,0.00,0.42,0.00,0,0,0,0,4.58,0.00,2.48,0.00,VMS 3,,Tanque,,1.32,0.00,1.14,0.00,1.96,0.00,0.30,0.00
25/06/2025 04:23 a. m.,Ordeño,09:39,3.95,2,,DD,,"DI,DD",0,TI,0.00,0.66,0.66,0.54,0,0,0,0,0.00,3.95,4.70,3.62,VMS 3,,Tanque,,0.00,1.02,1.32,0.90,0.00,0.17,2.10,1.68
25/06/2025 05:24 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
25/06/2025 09:43 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
