Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 05:37 a. m.,Ordeño,09:58,23.96,1,,,,,1,,1.26,1.74,1.86,1.62,0,0,0,0,4.92,5.16,5.48,5.21,VMS 3,,Tanque,,1.74,2.16,2.40,2.10,6.11,5.56,3.33,8.96
01/03/2025 07:15 p. m.,Ordeño,06:51,17.20,2,,DI,,,1,,1.14,1.80,2.04,1.74,0,0,0,0,4.58,4.84,5.26,4.88,VMS 3,,Tanque,,2.10,2.34,2.52,2.28,3.23,4.86,2.69,6.42
02/03/2025 02:24 a. m.,Ordeño,07:23,11.13,1,,,,,1,TI,1.20,1.44,1.74,1.44,0,0,0,0,4.26,4.38,5.00,4.52,VMS 3,,Tanque,,1.68,1.98,2.34,1.92,4.40,2.43,1.15,3.15
02/03/2025 07:51 p. m.,Ordeño,08:29,20.64,2,,,,,1,,1.20,1.68,1.92,1.68,0,0,0,0,4.36,4.77,5.01,4.82,VMS 3,,Tanque,,2.10,2.22,2.52,2.40,5.72,4.88,3.10,6.94
03/03/2025 06:00 a. m.,Ordeño,05:05,9.59,1,,,,,1,,1.14,1.62,1.80,1.50,0,0,0,0,4.13,4.42,4.36,4.44,VMS 3,,Tanque,,1.80,2.10,2.28,1.98,2.69,2.41,1.44,3.05
04/03/2025 12:16 a. m.,Ordeño,09:07,22.58,1,,,,,1,,1.20,1.74,1.86,1.62,0,0,0,0,4.56,4.68,5.02,4.83,VMS 3,,Tanque,,1.98,2.40,2.28,1.98,6.05,5.05,3.58,7.90
04/03/2025 06:27 p. m.,Ordeño,12:09,22.71,2,,,,,1,,1.26,1.86,1.80,1.74,0,0,0,0,4.48,4.61,5.07,4.59,VMS 3,,Tanque,,1.80,2.34,2.34,2.28,6.26,5.31,3.47,7.67
05/03/2025 01:47 p. m.,Ordeño,07:32,21.17,1,,,,,1,,1.14,1.80,1.92,1.86,0,0,0,0,4.30,4.59,4.83,4.70,VMS 3,,Tanque,,1.68,2.34,2.34,2.28,5.20,5.27,3.32,7.38
06/03/2025 11:14 a. m.,Ordeño,08:08,23.26,1,,,,,1,,1.20,1.68,1.92,1.68,0,0,0,0,4.37,4.56,4.54,4.55,VMS 3,,Tanque,,1.80,2.16,2.52,2.22,6.21,5.70,3.49,7.86
06/03/2025 07:58 p. m.,Ordeño,04:19,9.27,2,,DI,,,0,,1.14,1.38,1.62,1.50,0,0,0,0,4.36,4.52,4.43,4.65,VMS 3,,Tanque,,1.80,1.80,2.10,1.80,2.07,2.35,1.49,3.36
07/03/2025 08:15 a. m.,Ordeño,08:52,17.89,1,,,,,0,,1.26,1.62,1.92,1.68,0,0,0,0,4.55,4.59,4.60,4.61,VMS 3,,Tanque,,1.68,2.10,2.40,2.04,5.18,4.07,2.69,5.95
07/03/2025 09:09 p. m.,Ordeño,08:48,17.63,2,,,,,0,,1.20,1.68,1.68,1.62,0,0,0,0,4.89,4.93,4.94,5.20,VMS 3,,Tanque,,1.68,2.28,2.34,2.04,4.62,4.13,2.89,5.99
08/03/2025 09:47 a. m.,Ordeño,08:55,18.07,1,,,,,0,,1.20,1.68,1.68,1.62,0,0,0,0,4.48,4.60,4.70,4.65,VMS 3,,Tanque,,1.74,2.10,2.64,2.04,4.88,4.29,2.95,5.95
09/03/2025 06:49 a. m.,Ordeño,09:33,26.34,1,,,,,0,,1.26,1.68,2.04,1.68,0,0,0,0,4.67,4.62,4.79,4.67,VMS 3,,Tanque,,2.04,2.16,2.58,2.22,7.54,5.32,4.04,9.44
09/03/2025 10:37 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
09/03/2025 07:17 p. m.,Ordeño,06:27,13.30,2,,,,,0,,1.20,1.56,1.56,1.56,0,0,0,0,4.26,4.56,4.38,4.49,VMS 3,,Tanque,,2.16,2.04,2.16,1.98,3.61,3.24,2.07,4.38
10/03/2025 03:23 a. m.,Ordeño,05:23,11.46,1,,,,,0,,1.08,1.32,1.50,1.62,0,0,0,0,4.58,4.75,4.51,4.93,VMS 3,,Tanque,,1.50,1.80,1.98,1.98,3.01,2.80,1.83,3.82
10/03/2025 03:44 p. m.,Ordeño,09:11,17.48,2,,,,,0,,1.20,1.68,1.56,1.62,0,0,0,0,4.73,4.82,4.79,4.76,VMS 3,,Tanque,,1.68,2.16,1.98,1.98,4.48,4.14,2.90,5.96
11/03/2025 02:53 a. m.,Ordeño,08:55,17.73,1,,,,,0,,1.32,1.68,1.62,1.74,0,0,0,0,4.72,4.76,4.45,4.83,VMS 3,,Tanque,,1.80,2.16,2.28,2.16,4.68,4.21,2.96,5.88
11/03/2025 03:33 p. m.,Ordeño,05:57,17.16,2,,DI,,,0,,1.44,1.68,2.10,1.74,0,0,0,0,4.87,4.85,4.89,5.02,VMS 3,,Tanque,,1.92,2.22,2.70,2.10,3.90,4.37,2.88,6.01
12/03/2025 03:37 a. m.,Ordeño,07:00,19.14,1,,,,,0,,1.38,1.56,1.80,1.62,0,0,0,0,4.59,4.73,4.69,4.55,VMS 3,,Tanque,,1.80,2.16,2.22,2.16,5.41,4.60,2.64,6.49
13/03/2025 05:42 a. m.,Ordeño,08:28,26.26,1,,,,,0,,1.38,1.74,1.98,1.62,0,0,0,0,4.53,4.75,5.16,4.72,VMS 3,,Tanque,,1.86,2.16,2.58,2.22,7.20,6.13,4.39,8.54
13/03/2025 06:40 p. m.,Ordeño,07:02,14.00,2,,,,,1,,1.32,1.50,1.50,1.44,0,0,0,0,3.96,4.31,4.69,4.19,VMS 3,,Tanque,,1.86,2.10,1.98,2.10,4.03,3.36,1.90,4.71
14/03/2025 07:14 a. m.,Ordeño,07:03,15.65,1,,,,,1,,1.38,1.56,1.80,1.62,0,0,0,0,4.43,4.55,4.83,4.43,VMS 3,,Tanque,,1.80,2.22,2.22,2.10,4.49,3.90,1.91,5.35
15/03/2025 03:57 a. m.,Ordeño,08:08,26.03,1,,,,,1,,1.32,1.74,1.92,1.56,0,0,0,0,4.47,4.74,4.97,4.58,VMS 3,,Tanque,,1.86,2.34,2.52,1.98,6.96,5.99,3.99,9.09
15/03/2025 05:22 p. m.,Ordeño,06:35,15.66,2,,,,,0,,1.26,1.74,1.68,1.50,0,0,0,0,4.39,4.42,4.51,4.30,VMS 3,,Tanque,,1.92,2.40,2.10,1.86,4.59,3.54,2.45,5.08
16/03/2025 07:54 a. m.,Ordeño,07:00,17.94,1,,,,,0,,1.32,1.86,1.68,1.68,0,0,0,0,4.60,4.75,4.64,4.78,VMS 3,,Tanque,,1.80,2.46,2.22,2.28,5.03,4.20,2.74,5.97
17/03/2025 03:04 a. m.,Ordeño,07:37,23.33,1,,,,,0,,1.32,1.68,2.10,1.74,0,0,0,0,4.60,4.67,4.84,4.91,VMS 3,,Tanque,,1.92,2.22,2.58,2.16,6.41,4.94,3.76,8.22
