Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
18/05/2025 11:38 p. m.,Echada sin ordeñar,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
19/05/2025 01:37 a. m.,Echada sin ordeñar,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
19/05/2025 07:00 a. m.,Echada sin ordeñar,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
19/05/2025 09:59 a. m.,Echada sin ordeñar,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
19/05/2025 03:36 p. m.,Echada sin ordeñar,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
19/05/2025 03:37 p. m.,Echada sin ordeñar,04:46,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
19/05/2025 03:42 p. m.,Echada sin ordeñar,04:49,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
19/05/2025 03:47 p. m.,Ordeño,07:59,18.35,1,,,,,0,DI,1.44,1.32,1.14,1.32,1290,591,489,576,5.54,4.72,4.80,4.77,VMS 3,,Divert 3,,2.16,1.74,1.80,1.86,5.10,5.21,4.08,3.96
20/05/2025 02:45 a. m.,Ordeño,05:14,7.41,1,,TI,,,1,,1.32,1.08,1.32,1.32,788,895,0,0,4.31,4.40,4.47,4.52,VMS 3,,Divert 3,,1.92,1.50,1.68,1.80,2.02,1.52,1.87,2.00
20/05/2025 12:41 p. m.,Ordeño,06:06,7.38,2,,,,,0,,1.44,1.32,1.38,1.62,377,0,0,0,4.78,4.94,4.81,4.90,VMS 3,,Divert 3,,1.98,1.86,1.86,2.16,1.91,1.61,1.84,2.02
21/05/2025 02:30 a. m.,Ordeño,08:53,10.53,1,,TD,,,0,,1.62,1.38,1.44,1.50,0,0,0,0,4.84,4.91,4.85,4.90,VMS 3,,Divert 3,,2.34,1.86,2.46,1.86,3.11,2.60,2.31,2.51
21/05/2025 10:21 a. m.,Ordeño,04:21,7.40,2,,"DI,TI,TD",,,0,,1.44,1.38,1.44,1.68,0,0,0,0,4.99,5.11,4.89,4.91,VMS 3,,Divert 3,,1.98,1.86,1.86,2.10,2.04,1.84,1.47,2.05
21/05/2025 08:22 p. m.,Ordeño,06:27,7.55,3,,,TD,TD,0,,1.56,1.50,1.56,0.00,0,0,0,0,5.10,5.18,4.93,0.00,VMS 3,,Tanque,,2.22,1.92,1.98,0.00,2.75,2.66,2.14,0.00
22/05/2025 05:33 a. m.,Ordeño,04:01,10.48,1,,Todos,,,0,,1.80,1.68,1.50,1.68,0,0,0,0,5.00,5.07,4.80,4.76,VMS 3,,Tanque,,2.22,2.10,1.92,2.28,2.70,2.64,2.21,2.93
22/05/2025 05:50 p. m.,Ordeño,05:04,13.28,2,,"DD,TI",,,0,,1.74,1.68,1.56,1.62,0,0,0,0,5.01,4.98,4.77,4.60,VMS 3,,Tanque,,2.46,2.34,2.04,2.16,3.84,3.35,3.04,3.05
