Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 05:21 a. m.,Ordeño,08:52,14.68,1,,,,,0,,0.78,0.90,0.78,0.66,0,0,0,0,4.88,4.83,4.79,4.99,VMS 2,,Tanque,,1.26,1.32,1.14,1.14,2.67,3.12,4.92,3.97
01/03/2025 11:23 a. m.,Ordeño,07:56,11.62,2,,,,,0,,0.90,0.84,0.72,0.54,0,0,0,0,4.68,4.69,4.66,5.00,VMS 2,,Tanque,,1.32,1.26,1.08,0.90,2.11,2.41,4.00,3.10
01/03/2025 05:10 p. m.,Ordeño,08:16,11.06,3,,,,,0,,0.72,1.08,0.66,0.66,0,0,0,0,4.40,4.76,4.67,4.87,VMS 2,,Tanque,,1.14,1.44,1.02,1.02,1.78,2.36,3.76,3.16
02/03/2025 12:07 a. m.,Ordeño,08:05,13.13,1,,,,,0,,0.84,0.96,0.84,0.72,0,0,0,0,4.61,4.70,4.68,4.84,VMS 2,,Tanque,,1.26,1.50,1.20,1.26,2.49,2.54,4.48,3.62
02/03/2025 08:20 a. m.,Ordeño,11:16,16.50,2,,,,,0,,0.90,0.90,0.72,0.54,0,0,0,0,4.86,5.03,4.89,4.99,VMS 2,,Tanque,,1.56,1.38,1.14,1.02,3.08,3.56,5.51,4.35
02/03/2025 02:44 p. m.,Ordeño,09:22,11.92,3,,,,,0,,0.84,1.02,0.72,0.48,0,0,0,0,4.66,4.76,4.67,4.87,VMS 2,,Tanque,,1.26,1.50,1.08,0.96,2.09,2.47,4.13,3.23
02/03/2025 04:24 p. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 2,,,,,,,,,,,
02/03/2025 11:07 p. m.,Ordeño,10:09,15.05,4,,,,,0,,0.60,0.90,0.72,0.54,0,0,0,0,4.68,4.84,4.65,4.86,VMS 2,,Tanque,,0.96,1.32,1.14,1.02,2.64,3.18,5.20,4.03
03/03/2025 06:59 a. m.,Ordeño,12:19,14.68,1,,,,,0,,0.66,0.78,0.60,0.42,0,0,0,0,4.64,4.74,4.66,4.73,VMS 2,,Tanque,,1.02,1.08,0.96,0.84,2.68,3.26,5.11,3.63
03/03/2025 03:23 p. m.,Ordeño,10:07,16.01,2,,,,,0,,0.60,0.90,0.78,0.60,0,0,0,0,4.54,4.81,4.68,4.80,VMS 2,,Tanque,,0.96,1.26,1.20,1.20,2.85,3.35,5.30,4.51
04/03/2025 01:35 a. m.,Ordeño,12:14,19.80,1,,,,,0,,0.54,0.90,0.78,0.60,0,0,0,0,4.54,4.82,4.79,4.75,VMS 2,,Tanque,,1.08,1.32,1.26,1.08,3.40,4.28,6.73,5.39
04/03/2025 10:42 a. m.,Ordeño,11:29,17.91,2,,,,,0,,0.72,1.08,0.72,0.60,0,0,0,0,4.60,4.81,4.72,4.90,VMS 2,,Tanque,,1.26,1.68,1.14,1.08,3.29,3.64,6.05,4.93
04/03/2025 04:48 p. m.,Ordeño,08:26,10.64,3,,,,,0,,0.72,0.90,0.66,0.54,0,0,0,0,4.47,4.75,4.59,4.82,VMS 2,,Tanque,,1.14,1.38,0.96,0.84,1.94,2.26,3.66,2.78
04/03/2025 10:51 p. m.,Ordeño,08:27,10.64,4,,DI,,,0,,0.66,0.90,0.66,0.54,0,0,0,0,4.28,4.50,4.51,4.53,VMS 2,,Tanque,,1.38,1.32,1.08,0.96,1.65,2.25,3.73,3.01
05/03/2025 07:20 a. m.,Ordeño,10:14,16.62,1,,,,,0,,0.78,0.90,0.72,0.60,0,0,0,0,4.66,4.84,4.73,4.94,VMS 2,,Tanque,,1.14,1.38,1.20,0.96,3.00,3.56,5.60,4.46
