Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 01:37 a. m.,Ordeño,07:55,23.08,1,,,,,0,,1.32,1.50,2.22,1.56,0,0,0,0,5.85,5.37,5.26,5.82,VMS 3,,Tanque,,1.80,2.22,2.82,2.10,2.58,3.29,8.63,8.58
02/03/2025 02:32 a. m.,Ordeño,07:47,24.57,1,,,,,1,DI,1.38,1.38,2.28,1.68,0,0,0,0,5.92,4.98,5.06,5.66,VMS 3,,Tanque,,2.40,1.98,3.00,2.16,3.48,2.76,8.98,9.35
03/03/2025 03:30 a. m.,Ordeño,08:42,21.33,1,,TI,,,0,,1.38,1.50,2.16,1.56,0,0,0,0,5.80,5.01,5.23,5.72,VMS 3,,Tanque,,1.80,1.98,3.06,2.10,3.17,3.12,5.12,9.92
03/03/2025 07:47 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
04/03/2025 05:03 a. m.,Ordeño,09:18,25.86,1,,,,,0,,1.38,1.44,2.10,1.44,0,0,0,0,5.61,5.16,5.03,5.75,VMS 3,,Tanque,,1.86,1.92,2.58,2.04,3.39,3.51,9.24,9.72
05/03/2025 03:03 a. m.,Ordeño,07:27,22.04,1,,,,,1,,1.56,1.44,2.16,1.74,0,0,0,0,5.63,4.98,5.26,5.76,VMS 3,,Tanque,,2.16,1.98,2.88,2.46,3.02,3.01,7.40,8.61
05/03/2025 05:06 p. m.,Ordeño,05:36,12.04,2,,,,,1,,1.44,1.44,2.04,1.50,0,0,0,0,5.39,4.91,4.97,5.49,VMS 3,,Tanque,,1.86,1.86,2.70,2.34,1.52,1.84,4.04,4.64
06/03/2025 01:21 a. m.,Ordeño,04:52,7.93,1,,TD,,,0,,1.14,1.20,1.50,1.56,0,0,0,0,5.25,4.97,5.20,5.42,VMS 3,,Tanque,,1.56,1.56,2.34,2.16,0.92,1.25,2.86,2.90
06/03/2025 07:22 p. m.,Ordeño,07:05,21.45,2,,,,,0,,1.44,1.56,2.10,1.74,0,0,0,0,5.91,5.38,5.63,6.05,VMS 3,,Tanque,,1.98,2.22,3.00,2.22,2.54,3.57,7.23,8.11
07/03/2025 10:42 a. m.,Ordeño,06:24,18.04,1,,,,,1,,1.50,1.38,2.04,1.62,0,0,0,0,5.57,5.11,5.28,5.75,VMS 3,,Tanque,,2.40,1.80,2.94,2.22,2.33,2.67,6.17,6.87
08/03/2025 02:24 a. m.,Ordeño,06:10,18.05,1,,TD,,,1,,1.38,1.44,2.04,1.62,0,0,0,0,5.69,5.01,5.36,5.65,VMS 3,,Tanque,,1.92,1.86,2.76,2.10,2.28,2.49,6.62,6.66
08/03/2025 08:55 p. m.,Ordeño,07:20,21.16,2,,,,,1,,1.38,1.50,1.86,1.62,0,0,0,369,5.48,5.13,5.41,5.75,VMS 3,,Tanque,,1.80,1.98,2.46,2.10,2.58,3.47,7.28,7.83
09/03/2025 06:03 a. m.,Ordeño,04:33,9.13,1,,TI,,,0,,1.14,1.26,1.86,1.38,0,0,0,0,5.14,4.74,4.80,5.21,VMS 3,,Tanque,,1.50,1.80,2.58,1.98,1.16,1.55,2.98,3.44
09/03/2025 04:46 p. m.,Ordeño,05:04,11.36,2,,,,,0,,1.32,1.44,1.92,1.56,0,0,0,0,5.03,5.01,5.27,5.51,VMS 3,,Tanque,,1.80,1.92,2.58,2.40,1.21,1.75,4.32,4.08
10/03/2025 03:14 p. m.,Ordeño,06:54,22.82,1,,DI,,,1,,1.44,1.50,2.16,1.74,0,0,0,0,6.14,5.21,5.52,6.04,VMS 3,,Tanque,,1.92,2.04,2.76,2.16,3.21,3.00,8.08,8.53
11/03/2025 02:22 a. m.,Ordeño,06:33,12.30,1,,,,,0,,1.32,1.56,1.74,1.44,0,0,0,0,5.12,4.90,5.05,5.23,VMS 3,,Tanque,,1.86,1.98,2.34,1.92,1.50,2.10,4.15,4.55
11/03/2025 01:56 p. m.,Ordeño,05:10,12.04,2,,,,,0,,1.26,1.38,1.80,1.56,0,0,0,0,5.45,5.07,5.42,5.56,VMS 3,,Tanque,,1.74,1.86,2.40,2.40,1.39,1.90,4.29,4.46
12/03/2025 09:15 a. m.,Ordeño,06:16,21.01,1,,,,,0,,1.44,1.62,2.16,1.86,0,0,0,0,5.78,5.38,5.42,5.94,VMS 3,,Tanque,,1.86,2.04,2.82,2.34,2.58,3.57,7.38,7.48
13/03/2025 12:26 a. m.,Ordeño,05:53,15.09,1,,,,,1,,1.38,1.56,1.98,1.50,0,0,0,0,5.27,5.00,4.95,5.41,VMS 3,,Tanque,,1.80,1.98,2.76,2.10,1.92,2.45,5.12,5.60
13/03/2025 08:24 a. m.,Ordeño,04:17,7.37,2,,,,,0,,1.14,1.26,1.68,1.26,0,0,0,0,4.97,4.94,4.94,5.13,VMS 3,,Tanque,,1.62,1.80,2.28,1.86,0.90,1.23,2.59,2.65
14/03/2025 03:43 a. m.,Ordeño,06:50,20.86,1,,,,,0,,1.38,1.68,2.04,1.68,0,0,0,0,5.50,5.47,5.61,5.85,VMS 3,,Tanque,,1.86,2.28,2.70,2.34,2.66,3.46,7.31,7.43
14/03/2025 06:24 p. m.,Ordeño,06:43,15.11,2,,,,,1,,1.44,1.56,1.68,1.50,0,0,0,0,5.29,5.08,5.29,5.38,VMS 3,,Tanque,,1.92,1.98,2.40,2.04,2.02,2.37,5.20,5.52
14/03/2025 10:47 p. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
15/03/2025 02:51 a. m.,Ordeño,05:56,8.02,1,,TI,,,0,,1.20,1.26,1.68,1.20,0,0,0,0,4.88,4.94,4.96,4.92,VMS 3,,Tanque,,1.62,1.74,2.34,2.04,1.03,1.29,2.62,3.08
16/03/2025 03:37 a. m.,Ordeño,07:13,23.55,1,,,,,0,,1.38,1.50,2.10,1.62,0,0,0,0,5.73,5.34,5.84,5.86,VMS 3,,Tanque,,1.92,1.86,2.82,2.16,3.39,3.78,8.58,7.80
16/03/2025 03:37 a. m.,Echada sin ordeñar,07:13,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
16/03/2025 01:55 p. m.,Ordeño,04:57,9.07,2,,,,,0,,1.44,1.32,1.62,1.32,0,0,0,0,4.98,4.88,5.10,5.27,VMS 3,,Tanque,,1.98,1.92,2.40,1.74,1.30,1.49,3.05,3.23
17/03/2025 02:12 a. m.,Ordeño,05:16,11.26,1,,,,,0,,1.32,1.74,1.80,1.38,0,0,0,0,4.93,4.94,5.04,5.32,VMS 3,,Tanque,,1.68,2.34,2.76,1.86,1.46,1.93,3.79,4.08
18/03/2025 01:03 a. m.,Ordeño,08:08,22.84,1,,,,,1,,1.32,1.56,1.98,1.62,0,0,0,0,5.74,5.38,5.49,6.04,VMS 3,,Tanque,,1.74,2.10,2.64,2.04,3.17,3.91,7.54,8.22
19/03/2025 03:42 a. m.,Ordeño,07:34,23.30,1,,,,,0,,1.32,1.74,2.04,1.62,0,0,0,0,5.38,5.35,5.55,5.90,VMS 3,,Tanque,,1.80,2.34,2.64,2.10,3.46,3.96,7.70,8.18
