Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
29/04/2025 03:07 p. m.,Ordeño,07:35,13.04,1,,,,,0,,0.84,0.90,1.14,1.08,0,0,0,0,4.57,4.92,4.67,4.61,VMS 3,,Tanque,,1.26,1.26,1.56,1.38,3.05,2.77,3.26,3.96
29/04/2025 10:33 p. m.,Ordeño,15:30,11.88,2,,,,TI,0,,0.78,0.84,0.00,1.14,0,0,0,0,4.83,4.98,0.00,5.02,VMS 3,,Tanque,,1.20,1.38,0.00,1.44,3.32,3.34,0.00,5.22
30/04/2025 09:05 a. m.,Ordeño,17:55,9.35,1,,,,"TI,TD",0,,0.84,0.84,0.00,0.00,0,0,0,0,4.95,5.11,0.00,0.00,VMS 3,,Tanque,,1.20,1.20,0.00,0.00,4.87,4.48,0.00,0.00
30/04/2025 06:44 p. m.,Ordeño,15:23,19.63,2,,"DD,TI",,,0,,0.84,0.84,0.84,1.32,0,0,0,0,4.85,4.94,4.36,5.19,VMS 3,,Tanque,,1.26,1.26,1.80,1.74,4.63,2.56,0.24,12.20
30/04/2025 11:44 p. m.,Ordeño,16:49,11.19,1,,TI,,,0,DD,0.72,0.90,0.78,1.08,0,0,0,0,4.57,5.14,5.09,4.37,VMS 3,,Tanque,,1.14,1.44,1.20,1.44,2.29,4.37,0.30,4.23
01/05/2025 11:55 a. m.,Ordeño,13:24,20.49,2,,,TI,TI,1,,0.84,1.02,0.00,1.20,0,0,0,0,4.85,5.18,0.00,4.78,VMS 3,,Tanque,,1.38,1.38,0.00,1.86,6.36,5.93,0.00,8.20
01/05/2025 06:48 p. m.,Ordeño,11:32,6.94,3,,,"TI,TD","TI,TD",0,,0.78,0.96,0.00,0.00,0,0,0,0,4.57,4.98,0.00,0.00,VMS 3,,Tanque,,1.26,1.32,0.00,0.00,3.77,3.17,0.00,0.00
02/05/2025 12:04 a. m.,Ordeño,18:07,23.94,1,,DD,,,1,TI,0.78,0.90,1.20,1.32,0,0,0,0,4.49,4.84,6.24,4.92,VMS 3,,Tanque,,1.20,1.44,1.86,1.80,2.97,2.09,10.35,8.53
02/05/2025 11:22 a. m.,Ordeño,13:54,23.62,2,,,,,0,,0.90,0.96,0.96,1.20,0,0,0,0,4.68,5.12,4.80,4.69,VMS 3,,Tanque,,1.38,1.38,1.38,1.62,5.83,6.45,2.83,8.51
